,runtime_hours,lubrication_index,machine_health_index,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality,machine_temperature,machine_vibration,auto,manual,semi_auto
36,7.325991059737563,1.6934538549979803,1.4790386808535971,South,Fam_04,Assembly,Low,ISO9001,Medium,21.2,9.62,False,False,True
37,2.0605793384915,2.8761283389289285,1.348014425565309,East,Fam_01,Assembly,No Fault,ISO9001,Low,17.75,6.6,False,False,True
38,2.087118024558454,6.608779249860748,3.322192592088486,South,Fam_03,Init,No Fault,ISO9001,Low,30.1,9.93,False,False,True
39,2.152802193997447,6.314355662848368,3.596155420880547,West,Fam_14,Init,No Fault,ISO9001,High,20.22,10.45,True,False,False
40,0.6604102080829832,2.8161893837283425,3.047564502956858,East,Fam_12,Assembly,No Fault,ISO9001,High,22.97,15.54,False,False,True
41,7.59358949367177,3.072114594761954,1.3640851841902812,South,Fam_05,Assembly,No Fault,ISO9001,Low,25.56,5.57,True,False,False
42,4.628798426504952,,1.6179532663428673,North,Fam_01,Processing,No Fault,ISO9001,Medium,21.71,6.89,True,False,False
43,1.429762374827974,3.425668917400093,2.2158756924201586,South,Fam_01,Final,No Fault,ISO9001,High,24.16,9.94,False,False,True
44,2.864460459402663,2.5479318571444827,2.1505224229682893,East,Fam_07,Assembly,No Fault,ISO9001,High,25.45,8.89,False,False,True
45,5.19817586166774,4.2067322708449,2.337341823417262,South,Fam_18,Assembly,No Fault,ISO9001,,31.04,8.12,True,False,False
46,3.975094515793878,4.793217217227738,2.802939274692603,East,Fam_01,Processing,Low,ISO9001,High,22.81,9.88,False,False,True
47,6.161741221244276,4.280824548136506,2.3173875430096773,North,Fam_20,Processing,No Fault,ISO9001,High,25.67,8.4,False,False,True
48,8.719617975281036,4.376900361899845,2.0343506340404134,West,Fam_08,Processing,Low,ISO9001,Medium,21.39,7.05,True,False,False
49,7.279274898699266,4.096410076461226,1.1526922023945758,East,Fam_01,Final,No Fault,ISO9001,Medium,,,True,False,False
50,1.8648068932924384,2.879204824811177,,West,Fam_39,Assembly,Low,ISO9001,Low,23.61,7.39,False,False,True
51,2.238639800179341,2.1630457730732413,1.2649926978490786,West,Fam_16,Processing,No Fault,ISO9001,Low,23.05,7.07,True,False,False
52,3.0916471061870485,4.2314182913117016,1.7029663664059087,West,Fam_05,Processing,No Fault,ISO9001,,14.44,5.24,False,False,True
53,1.559345971426897,2.129320979102164,0.7879549777466508,West,Fam_09,Processing,No Fault,ISO9001,Low,21.47,3.98,False,False,True
54,2.0494721415188284,2.102937409108882,1.1128700750097806,South,Fam_13,Processing,No Fault,ISO9001,Low,19.77,6.57,True,False,False
55,1.741113468219746,2.5344997280413466,2.1597724042640367,East,Fam_37,Processing,Medium,ISO9001,Low,16.74,11.71,True,False,False
56,4.076870669742116,7.195901549720328,,North,Fam_02,Processing,No Fault,ISO9001,,19.36,5.88,True,False,False
57,3.817136500447135,3.0831103673458222,1.2902520276587548,West,Fam_12,Assembly,Low,ISO9001,,24.95,6.84,True,False,False
58,8.351883019065312,5.414550406176661,3.0637353665731637,North,Fam_05,Processing,No Fault,ISO9001,High,19.83,10.97,False,False,True
59,3.4532051362441125,2.6293995138889943,2.5431168441106693,West,Fam_39,Assembly,Medium,ISO9001,Medium,20.77,14.01,True,False,False
60,2.6956402826200274,3.567352442207698,2.145349172790804,West,Fam_23,Final,No Fault,ISO9001,High,23.43,7.21,False,False,True
61,1.4667138565386963,3.365380605701899,2.473399344236137,East,Fam_04,Init,No Fault,ISO9001,,,,False,False,True
62,5.469526837408881,4.732254558918475,1.877406722447291,North,Fam_06,Init,No Fault,ISO9001,Medium,20.58,3.79,True,False,False
63,2.081152189863188,3.0493888352748737,,North,Fam_28,Processing,Low,ISO9001,Low,17.31,12.15,True,False,False
64,3.607812208653226,3.5729728799243143,1.502788489093716,South,Fam_13,Processing,No Fault,ISO9001,,24.07,5.78,False,False,True
65,6.599382147908191,3.5219880762692606,2.18874176178643,North,Fam_23,Assembly,Low,ISO9001,,23.65,10.28,True,False,False
66,4.148412201004224,3.74351465858132,1.6080315431164975,East,Fam_32,Assembly,No Fault,ISO9001,Low,26.53,4.03,False,False,True
67,7.085068973210417,2.153064686605425,1.0033082844580663,West,Fam_28,Processing,Low,ISO9001,Medium,25.54,5.83,True,False,False
68,3.181723039972524,2.7793840801236915,1.6959493838588393,North,Fam_02,Assembly,No Fault,ISO9001,Medium,22.34,8.0,False,False,True
69,0.8052094820847584,3.1299376948453137,1.2647040158731535,East,Fam_17,Processing,,ISO9001,Low,22.91,4.0,True,False,False
70,6.541611243278559,3.988274432467081,2.3047530701655137,East,Fam_31,Processing,No Fault,ISO9001,Medium,18.58,8.9,True,False,False
71,3.0157326949349974,2.884004625520007,1.7762187046544873,North,Fam_32,Processing,No Fault,ISO9001,Low,16.34,9.58,False,False,True
72,2.366322173343706,4.382600248113711,2.238559679035124,North,Fam_23,Processing,No Fault,ISO9001,High,19.94,8.4,True,False,False
73,5.158330864861251,,1.587388396824236,East,Fam_02,Assembly,No Fault,ISO9001,Medium,26.01,3.76,True,False,False
74,3.292463791937128,2.6398676608288065,1.600997237018108,North,Fam_01,Processing,No Fault,ISO9001,Medium,,,False,False,True
75,2.0652044935355525,,,North,Fam_38,Processing,No Fault,ISO9001,Low,19.19,4.7,False,False,True
76,2.490787028125179,5.843873633539856,3.157218278340952,West,Fam_37,Final,No Fault,ISO9001,High,19.47,11.16,True,False,False
77,5.1584527287554085,2.6250269282569683,0.8513354497895392,East,Fam_02,Assembly,No Fault,ISO9001,Low,30.19,4.71,True,False,False
78,3.358371020092392,2.5611727232274406,1.6829478035870888,South,Fam_24,Assembly,No Fault,ISO9001,Low,,,True,False,False
79,2.3330821664924386,4.163990099244651,2.417795097500646,North,Fam_20,Final,No Fault,ISO9001,Low,16.86,7.89,False,False,True
80,3.661249560229989,2.2787475196051936,0.6250160162678584,North,Fam_26,Final,No Fault,ISO9001,,25.94,2.52,False,False,True
81,3.0086384082107016,4.38212592286318,2.182435816041181,East,Fam_03,Processing,No Fault,ISO9001,Low,17.86,7.49,True,False,False
82,1.875818489982158,2.9673052958118675,1.8574412943049048,West,Fam_12,Init,No Fault,ISO9001,Medium,22.58,9.22,False,False,True
83,4.270164011313334,3.729279102547632,1.7844858236313423,North,Fam_38,Final,No Fault,ISO9001,Low,13.47,5.88,False,True,False
84,5.018356801350249,4.307147079496175,2.652378891958381,South,Fam_34,Processing,Low,ISO9001,Low,19.8,9.83,True,False,False
85,3.152944298234458,2.386118481262416,1.052210495650841,South,Fam_10,Processing,No Fault,ISO9001,Low,,,True,False,False
86,10.926656023580485,3.3945778463882177,1.8215086855729503,East,Fam_36,Init,No Fault,ISO9001,Low,18.28,7.58,True,False,False
87,2.781665885784663,2.01992111362228,0.8687777601064612,East,Fam_02,Init,No Fault,ISO9001,Low,18.47,4.84,False,False,True
88,0.7014843923852447,3.09975681913534,0.9467798462413334,West,Fam_02,Assembly,No Fault,ISO9001,Low,23.42,2.91,False,False,True
89,0.8452321487343855,3.370351834313042,1.6161684760469002,West,Fam_21,Processing,No Fault,ISO9001,Low,19.92,5.83,True,False,False
90,0.915527021116886,3.0156323596351755,1.567042345366093,East,Fam_01,Init,No Fault,ISO9001,,22.11,6.15,False,False,True
91,5.320499470166977,5.673804802960783,2.879465269763685,South,Fam_01,Processing,No Fault,ISO9001,High,23.92,9.52,True,False,False
92,2.1965133244563475,8.667428862568887,3.673232473464789,South,Fam_16,Assembly,No Fault,ISO9001,High,25.19,5.79,False,True,False
93,5.089123146157414,4.724436920179145,2.597511144219845,East,Fam_39,Assembly,No Fault,ISO9001,High,21.68,8.52,True,False,False
94,2.492256760465904,1.9005610207888244,1.508049643275008,West,Fam_22,Assembly,No Fault,ISO9001,,26.16,7.81,False,False,True
95,,2.1300176395960717,1.0542527909552528,West,Fam_09,Final,No Fault,ISO9001,Low,30.12,4.39,True,False,False
96,4.724857881764091,6.048141965737564,3.115610855514017,East,Fam_02,Assembly,No Fault,ISO9001,High,,,False,True,False
97,4.892878703554386,5.035507934910999,2.440503666425657,West,Fam_33,Processing,No Fault,ISO9001,High,22.21,7.04,True,False,False
98,1.141551712432802,4.338276428146308,2.066674289511737,North,Fam_33,Processing,No Fault,ISO9001,Low,16.85,6.9,True,False,False
99,5.161592680621263,2.044137529584207,1.8208592013979208,West,Fam_19,Processing,Low,ISO9001,,27.76,10.69,False,False,True
100,4.204767979702924,2.3317322910921345,1.134897201414112,West,Fam_09,Processing,No Fault,ISO9001,Low,20.9,6.9,True,False,False
101,3.730914425352657,3.2419463613045494,1.605055361784664,West,Fam_35,Processing,No Fault,ISO9001,High,22.01,7.13,False,False,True
102,3.414931473424591,3.129397803328656,1.3773728323658334,North,Fam_12,Processing,,ISO9001,Low,16.58,3.62,False,True,False
103,7.793226378721213,5.8647552789999535,2.6889893631307253,South,Fam_31,Init,No Fault,ISO9001,High,21.8,7.39,True,False,False
104,2.373435228319603,3.833214897452697,,South,Fam_21,Init,No Fault,ISO9001,High,23.23,8.88,True,False,False
105,2.3606074847172804,,2.361115326305101,East,Fam_14,Processing,,ISO9001,Medium,20.01,7.6,True,False,False
106,4.235010175879981,2.4171734983707203,1.0651131148649464,West,Fam_01,Final,No Fault,ISO9001,Low,19.6,6.1,False,False,True
107,2.1258011062164077,4.493395038737117,2.960413719017068,South,Fam_02,Assembly,No Fault,ISO9001,High,23.75,10.83,False,False,True
108,2.0512307030302743,3.791934184549397,2.32401573262747,East,Fam_06,Final,No Fault,ISO9001,High,,,True,False,False
109,1.81067930796024,4.497766964167984,2.2384357338174032,South,Fam_11,Processing,No Fault,ISO9001,High,22.51,7.47,True,False,False
110,2.3832471893422618,5.378263075060249,2.496960467201607,East,Fam_18,Processing,No Fault,ISO9001,Medium,18.2,6.99,True,False,False
111,5.263310104597064,1.916400672497067,2.5390979453756817,East,Fam_02,Init,No Fault,ISO9001,Medium,18.97,15.51,True,False,False
112,2.396444225161787,3.700455344796892,1.8579218655615088,South,Fam_28,Processing,No Fault,ISO9001,Low,22.34,8.83,False,False,True
113,5.0227929755674126,3.2087949477094844,2.328188560944441,North,Fam_32,Final,No Fault,ISO9001,Low,13.35,11.34,True,False,False
114,3.4020513649387567,2.9881592425098327,0.7418191200137404,East,Fam_10,Assembly,Low,ISO9001,Low,21.56,2.29,False,False,True
115,4.935092541152829,3.096002356918141,1.0845683440873328,West,Fam_39,Init,No Fault,ISO9001,Low,,,True,False,False
116,4.14888965458386,2.613880151625192,2.2914114203748785,South,Fam_18,Processing,No Fault,ISO9001,High,20.83,13.21,False,False,True
117,2.065398252758624,1.766144226260583,1.2636617829354646,South,Fam_05,Assembly,No Fault,ISO9001,Low,27.23,8.07,False,False,True
118,1.0125781687031656,3.0924661643081213,,North,Fam_33,Init,No Fault,ISO9001,Medium,20.83,12.25,True,False,False
119,4.538947572286156,4.000588030675377,1.9928659935923556,South,Fam_05,Processing,No Fault,ISO9001,Medium,23.01,6.01,False,False,True
120,4.603352305176802,3.2538414036456924,2.244985276855264,East,Fam_06,Processing,Low,ISO9001,High,22.61,10.04,True,False,False
121,2.142446557957732,4.875653098472315,,East,Fam_12,Processing,No Fault,ISO9001,Medium,,,False,False,True
122,4.4147970103898,2.0337796250679965,1.3915694963992045,East,Fam_18,Assembly,No Fault,ISO9001,Medium,20.04,8.73,True,False,False
123,2.9796634961537887,5.668675220554777,2.3076482608969404,North,Fam_09,Processing,No Fault,ISO9001,Medium,22.58,4.49,True,False,False
124,3.108628390968657,3.0837392561691908,1.615261756728406,West,Fam_01,Init,No Fault,ISO9001,Medium,21.46,7.74,True,False,False
125,3.921587128935,2.9692762572197453,1.6501632420122618,North,Fam_36,Assembly,Medium,ISO9001,Low,19.02,6.89,False,False,True
126,4.820212500050688,3.544313969448797,1.9146296510645944,East,Fam_09,Processing,Low,ISO9001,Medium,27.48,7.89,False,False,True
127,4.841933034058252,5.072765023791037,2.9984921694175206,South,Fam_32,Assembly,No Fault,ISO9001,Medium,19.94,11.05,True,False,False
128,4.32078001567602,2.8004626786222606,1.991858204507192,South,Fam_25,Processing,No Fault,ISO9001,Medium,19.96,9.46,False,False,True
129,0.9946753434964302,3.858101373133552,1.7107959127316497,South,Fam_23,Init,No Fault,ISO9001,Low,30.65,5.61,False,False,True
130,6.802871814607985,5.227368433199065,3.5916659895964425,East,Fam_13,Assembly,No Fault,ISO9001,High,24.32,14.7,True,False,False
131,4.067053189184604,2.430797618025985,1.6202738558968377,East,Fam_35,Assembly,No Fault,ISO9001,High,25.53,9.72,True,False,False
132,4.109723120358878,1.5153411199000038,1.5408751503403917,East,Fam_01,Processing,Low,ISO9001,Medium,26.13,10.33,True,False,False
133,2.5602582877810707,3.6602444389791526,1.8346509820558443,East,Fam_11,Final,No Fault,ISO9001,Medium,27.61,6.05,True,False,False
134,3.434892879562064,1.3106991026158776,0.6603050156846412,West,Fam_13,Processing,No Fault,ISO9001,Low,20.46,5.84,False,False,True
135,3.936258692453965,3.304583316784941,2.103415149050641,West,Fam_09,Final,No Fault,ISO9001,Medium,22.17,10.79,True,False,False
136,8.339775389242323,2.9298116699883305,1.514913608854886,South,Fam_02,Assembly,No Fault,ISO9001,Low,18.12,6.75,False,False,True
137,2.8300286440072764,5.063571511148367,2.3827772998911523,East,Fam_09,Init,No Fault,ISO9001,Medium,22.32,7.21,True,False,False
138,3.6554205113559126,6.716369055139681,4.709774805893666,South,Fam_10,Processing,No Fault,ISO9001,High,22.96,16.96,False,True,False
139,6.795193791532037,2.6612421655491,1.247754373274902,East,Fam_06,Final,No Fault,ISO9001,Medium,23.2,4.79,False,False,True
140,4.235513361558153,2.192801750358117,1.5598797709553656,South,Fam_03,Final,No Fault,ISO9001,Low,28.85,9.26,False,False,True
141,4.529821023120815,5.939275671247496,2.54096848269024,South,Fam_10,Processing,No Fault,ISO9001,High,21.74,7.14,False,False,True
142,4.994734539347883,4.639723611689391,2.845642650583333,West,Fam_06,Assembly,No Fault,ISO9001,High,19.15,11.34,False,True,False
143,7.2104101877073985,3.352756834267592,1.4028231828347502,North,Fam_17,Processing,No Fault,ISO9001,,17.08,6.82,True,False,False
144,4.643855656763031,5.978632771286817,2.742330106723422,North,Fam_26,Processing,No Fault,ISO9001,Medium,19.15,6.05,True,False,False
145,4.82514279991773,3.409211598461361,2.1136441372664603,East,Fam_01,Processing,,ISO9001,Medium,19.1,9.48,True,False,False
146,,3.897175919090973,1.7402473811265986,North,Fam_02,Final,,ISO9001,Medium,19.97,8.76,True,False,False
147,0.86419117734151,6.672414931645205,2.9863514174718797,East,Fam_35,Processing,Low,ISO9001,High,25.82,5.65,True,False,False
148,6.871402079678414,2.0946059404861863,0.7354586814778488,South,Fam_16,Processing,No Fault,ISO9001,Low,27.17,3.45,True,False,False
149,3.25603685741744,2.886136790596729,1.2059401825117042,West,Fam_33,Assembly,No Fault,ISO9001,Low,23.69,4.58,True,False,False
150,5.017451008759117,3.706404774061504,2.399416832575417,East,Fam_17,Assembly,No Fault,ISO9001,Medium,20.03,10.65,True,False,False
151,2.889038712792092,7.257887364380994,3.9625881292345295,East,Fam_18,Init,No Fault,ISO9001,High,22.15,10.86,False,True,False
152,2.554512554206126,2.205792787372295,1.860295129581732,East,Fam_15,Assembly,Low,ISO9001,Medium,24.77,10.61,False,False,True
153,4.433188991882206,2.284562325967824,0.917324729452162,East,Fam_14,Init,No Fault,ISO9001,,26.86,3.42,False,False,True
154,4.006814520600398,2.412742326254165,1.2285444203142497,South,Fam_07,Assembly,No Fault,ISO9001,Medium,23.66,7.36,False,False,True
155,2.900498739257092,2.711979656182653,1.048521759429038,South,Fam_09,Processing,No Fault,ISO9001,Low,25.57,4.94,False,False,True
156,2.17536056360466,2.9231565606944216,1.0960502308482514,North,Fam_03,Processing,No Fault,ISO9001,Medium,22.11,4.61,False,False,True
157,4.310665450958851,3.787810158535633,1.8461059149395596,West,Fam_40,Processing,No Fault,ISO9001,Medium,18.14,6.62,False,False,True
158,2.0389805581471787,4.081728914486588,2.4454046466708417,South,Fam_04,Assembly,,ISO9001,High,25.3,9.91,False,False,True
159,4.528454542593286,4.3880993576919805,,West,Fam_02,Processing,No Fault,ISO9001,Low,16.01,11.66,False,True,False
160,0.964061116944067,2.66271381340902,2.22313770947241,West,Fam_02,Init,No Fault,ISO9001,Medium,27.92,11.17,False,False,True
161,3.11530828381938,7.77115909707112,3.3208572147328934,South,Fam_14,Final,No Fault,ISO9001,High,26.63,7.02,False,False,True
162,7.411960191612392,7.737885754864354,3.1050431194122274,East,Fam_10,Processing,,ISO9001,High,21.8,5.55,True,False,False
163,1.4580596164150377,5.332958844704704,3.2044509616239107,South,Fam_17,Processing,No Fault,ISO9001,High,24.32,10.9,False,True,False
164,5.575368271684058,5.570836938496846,2.6453851018182624,North,Fam_35,Assembly,No Fault,ISO9001,High,26.27,9.26,True,False,False
165,4.34367414596182,6.184592580169338,3.5082162432550126,North,Fam_29,Init,No Fault,ISO9001,High,24.55,10.36,True,False,False
166,3.010663958197918,3.378799274290271,2.169351108930521,South,Fam_08,Processing,No Fault,ISO9001,Medium,22.78,9.2,False,True,False
167,1.6236036236404814,3.3900385195579856,1.4445990410252716,West,Fam_26,Init,No Fault,ISO9001,Low,19.89,4.81,False,True,False
168,3.940379116700603,2.1346230123439613,2.701920688991701,South,Fam_39,Assembly,,ISO9001,Low,28.93,15.84,False,False,True
169,5.543026327342613,2.1519890189148274,0.3869915801179091,West,Fam_12,Processing,No Fault,ISO9001,Low,22.03,2.78,False,False,True
170,2.108225095806616,4.01292656176174,1.3218524534740248,East,Fam_03,Assembly,Low,ISO9001,Medium,23.92,2.16,False,False,True
171,2.0323412322027914,6.071167280085279,3.550085985364801,East,Fam_40,Assembly,,ISO9001,High,21.93,12.7,True,False,False
172,6.590325689053503,5.038282712051474,2.6090172604694923,East,Fam_08,Init,,ISO9001,Medium,17.76,8.35,False,True,False
173,1.4440511578487916,3.914259051242293,2.964511882149106,South,Fam_37,Assembly,No Fault,ISO9001,High,26.22,13.64,True,False,False
174,2.9039799809276103,,2.286795024206336,West,Fam_02,Processing,No Fault,ISO9001,Low,18.91,10.47,False,False,True
175,7.188507712338037,4.303947472748266,2.4275736243252526,North,Fam_22,Final,No Fault,ISO9001,High,24.67,7.9,True,False,False
176,3.3753207826846365,4.077770925347665,2.087328502503897,North,Fam_21,Init,No Fault,ISO9001,Medium,27.54,8.26,False,True,False
177,3.35809969816646,1.3953331311154291,1.222981686422329,South,Fam_15,Init,No Fault,ISO9001,Medium,26.52,7.96,False,False,True
178,4.890316166501948,2.68400762234776,1.6043170539037532,East,Fam_23,Processing,,ISO9001,High,23.11,7.39,True,False,False
179,2.3677795172170266,2.2078835160944807,,West,Fam_08,Init,No Fault,ISO9001,Medium,22.49,10.76,False,False,True
180,6.289996674842566,6.833221024289902,3.6007080989135964,North,Fam_30,Assembly,No Fault,ISO9001,High,24.55,9.79,False,False,True
181,1.323640758012884,2.4876682062143627,1.912678451022551,North,Fam_30,Init,No Fault,ISO9001,Low,18.69,10.04,False,False,True
182,5.327713429873304,3.7138242433926223,2.230108350373558,East,Fam_10,Assembly,No Fault,ISO9001,High,22.17,8.54,True,False,False
183,4.7858749679579295,2.1955237354585315,1.759202575233601,East,Fam_12,Processing,No Fault,ISO9001,Medium,28.35,10.67,False,False,True
184,2.0407992257776204,2.622659031084787,1.3003986753133172,East,Fam_12,Processing,No Fault,ISO9001,Medium,21.68,5.25,False,False,True
185,5.213090247148176,5.430088977713786,2.452482441161669,North,Fam_22,Init,No Fault,ISO9001,Medium,18.48,5.42,False,False,True
186,5.870629932315078,2.715200270650413,,West,Fam_01,Processing,No Fault,ISO9001,High,24.57,12.63,True,False,False
187,8.85289676496695,,2.464398207136506,South,Fam_07,Processing,No Fault,ISO9001,High,26.66,7.31,True,False,False
188,6.565090108754954,3.245764700855948,,East,Fam_05,Processing,Low,ISO9001,Low,24.16,4.54,False,False,True
189,0.6992718716022014,2.9612076870316764,1.555550060614562,North,Fam_01,Assembly,No Fault,ISO9001,Low,22.56,6.81,False,False,True
190,4.102482894435089,3.068059536952769,2.1679120648639723,East,Fam_16,Processing,,ISO9001,Low,18.38,9.25,True,False,False
191,4.228847904364007,3.808994974995341,3.277991245979038,East,Fam_19,Processing,No Fault,ISO9001,High,,,True,False,False
192,2.5244241398099714,4.777520628722501,1.9021275071185015,South,Fam_30,Init,No Fault,ISO9001,Medium,23.69,4.7,False,True,False
193,5.360710531918922,,1.7993143050499338,South,Fam_10,Final,No Fault,ISO9001,Medium,27.76,10.88,True,False,False
194,3.198210552076199,3.911846380946602,1.316085164681375,North,Fam_09,Processing,Low,ISO9001,Low,20.77,3.62,False,False,True
195,4.296035189990526,2.4960566656332923,1.9331960653291849,North,Fam_05,Assembly,No Fault,ISO9001,Medium,25.49,8.71,False,False,True
196,2.7449847813376267,10.623500155783944,3.9581772349551754,North,Fam_11,Final,Low,ISO9001,High,,,True,False,False
197,4.080826960414218,4.241326610084445,1.823025255461009,South,Fam_19,Processing,No Fault,ISO9001,,19.95,4.53,True,False,False
198,4.896667103575123,2.2204063478792424,1.7871060313295974,West,Fam_28,Init,No Fault,ISO9001,Low,31.0,10.18,False,False,True
199,3.806388485478398,5.444880314552357,3.5615473031295632,East,Fam_26,Final,No Fault,ISO9001,,23.99,13.87,False,True,False
200,0.2014601828590106,4.149759156378004,2.165095996633248,South,Fam_04,Processing,No Fault,ISO9001,Medium,20.77,6.68,True,False,False
201,8.222755434745249,6.356981656446799,3.2741036046572165,South,Fam_13,Processing,No Fault,ISO9001,Low,32.21,8.98,True,False,False
202,,2.9846734370727366,3.186742892825293,South,Fam_02,Processing,No Fault,ISO9001,,22.65,15.96,True,False,False
203,1.662810580560599,4.652217045417644,2.3864693300450277,East,Fam_07,Assembly,No Fault,ISO9001,Low,27.55,9.02,True,False,False
204,4.35728985346352,3.187395150279582,1.5851394984937142,North,Fam_11,Processing,No Fault,ISO9001,Low,14.95,7.1,False,False,True
205,2.0233697437968123,3.647184948282869,1.4128243654544712,East,Fam_05,Processing,No Fault,ISO9001,Low,22.44,5.16,False,False,True
206,3.32527527999635,3.033811555441525,1.8507716327953083,South,Fam_02,Processing,No Fault,ISO9001,Low,27.76,9.78,False,False,True
207,4.44000700210346,,1.3701749794026186,East,Fam_01,Init,No Fault,ISO9001,Low,28.3,5.64,False,False,True
208,5.112246457710437,3.028067088807705,2.635328339519472,South,Fam_09,Final,No Fault,ISO9001,High,22.68,12.6,True,False,False
209,2.137387948021048,,0.8947553392890544,North,Fam_01,Init,No Fault,ISO9001,Low,28.65,6.72,True,False,False
210,4.3685048223823415,2.987347071007685,2.5817711914676806,West,Fam_30,Processing,,ISO9001,Medium,21.68,11.13,True,False,False
211,,3.991323548415453,,East,Fam_03,Init,No Fault,ISO9001,High,,,True,False,False
212,7.121667258873726,5.873880334578519,2.9726192978717867,South,Fam_10,Final,No Fault,ISO9001,High,26.7,8.13,True,False,False
