,sensor_packet,runtime_hours,lubrication_index,machine_health_index,operation_mode,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality
29,T:25.52 V:4.23 H:47.4,2.554664249039115,2.746411182724672,1.139903415102199,manual,West,Fam_10,Final,No Fault,ISO9001,Low
30,T:26.37 V:7.43 H:33.7,2.774467548362752,5.618794079112401,2.8411933588197957,auto,West,Fam_06,Processing,No Fault,ISO9001,High
31,T:23.38 V:5.43 H:50.6,5.381212439820839,7.510839345377587,3.2626805251517768,auto,South,Fam_29,Processing,No Fault,ISO9001,High
32,T:26.51 V:9.52 H:53.9,3.476854458387629,2.652841747482407,1.827798369655984,semi_auto,South,Fam_35,Assembly,No Fault,ISO9001,High
33,T:24.33 V:6.10 H:33.1,8.635582484824287,3.457493225904624,1.655312162807259,semi_auto,North,Fam_10,Assembly,No Fault,ISO9001,High
34,T:28.43 V:7.87 H:46.5,8.475462963422084,5.140864815396346,2.467532142671152,auto,South,Fam_34,Processing,Low,ISO9001,Medium
35,T:21.04 V:1.34 H:47.8,5.795356756888187,6.691815977449106,2.0600495965617776,manual,South,Fam_28,Assembly,No Fault,ISO9001,Medium
36,T:21.20 V:9.62 H:56.1,7.325991059737563,1.6934538549979803,1.4790386808535971,semi_auto,South,Fam_04,Assembly,Low,ISO9001,Medium
37,T:17.75 V:6.60 H:48.2,2.0605793384915,2.8761283389289285,1.348014425565309,semi_auto,East,Fam_01,Assembly,No Fault,ISO9001,Low
38,T:30.10 V:9.93 H:42.1,2.087118024558454,6.608779249860748,3.322192592088486,semi_auto,South,Fam_03,Init,No Fault,ISO9001,Low
39,T:20.22 V:10.45 H:40.1,2.152802193997447,6.314355662848368,3.596155420880547,auto,West,Fam_14,Init,No Fault,ISO9001,High
40,T:22.97 V:15.54 H:37.0,0.6604102080829832,2.8161893837283425,3.047564502956858,semi_auto,East,Fam_12,Assembly,No Fault,ISO9001,High
41,T:25.56 V:5.57 H:65.2,7.59358949367177,3.072114594761954,1.3640851841902812,auto,South,Fam_05,Assembly,No Fault,ISO9001,Low
42,T:21.71 V:6.89 H:45.9,4.628798426504952,,1.6179532663428673,auto,North,Fam_01,Processing,No Fault,ISO9001,Medium
43,T:24.16 V:9.94 H:45.3,1.429762374827974,3.425668917400093,2.2158756924201586,semi_auto,South,Fam_01,Final,No Fault,ISO9001,High
44,T:25.45 V:8.89 H:60.8,2.864460459402663,2.5479318571444827,2.1505224229682893,semi_auto,East,Fam_07,Assembly,No Fault,ISO9001,High
45,T:31.04 V:8.12 H:44.1,5.19817586166774,4.2067322708449,2.337341823417262,auto,South,Fam_18,Assembly,No Fault,ISO9001,
46,T:22.81 V:9.88 H:48.3,3.975094515793878,4.793217217227738,2.802939274692603,semi_auto,East,Fam_01,Processing,Low,ISO9001,High
47,T:25.67 V:8.40 H:30.0,6.161741221244276,4.280824548136506,2.3173875430096773,semi_auto,North,Fam_20,Processing,No Fault,ISO9001,High
48,T:21.39 V:7.05 H:55.9,8.719617975281036,4.376900361899845,2.0343506340404134,auto,West,Fam_08,Processing,Low,ISO9001,Medium
49,,7.279274898699266,4.096410076461226,1.1526922023945758,auto,East,Fam_01,Final,No Fault,ISO9001,Medium
50,T:23.61 V:7.39 H:50.7,1.8648068932924384,2.879204824811177,,semi_auto,West,Fam_39,Assembly,Low,ISO9001,Low
51,T:23.05 V:7.07 H:44.5,2.238639800179341,2.1630457730732413,1.2649926978490786,auto,West,Fam_16,Processing,No Fault,ISO9001,Low
52,T:14.44 V:5.24 H:58.8,3.0916471061870485,4.2314182913117016,1.7029663664059087,semi_auto,West,Fam_05,Processing,No Fault,ISO9001,
53,T:21.47 V:3.98 H:52.3,1.559345971426897,2.129320979102164,0.7879549777466508,semi_auto,West,Fam_09,Processing,No Fault,ISO9001,Low
54,T:19.77 V:6.57 H:57.3,2.0494721415188284,2.102937409108882,1.1128700750097806,auto,South,Fam_13,Processing,No Fault,ISO9001,Low
55,T:16.74 V:11.71 H:69.0,1.741113468219746,2.5344997280413466,2.1597724042640367,auto,East,Fam_37,Processing,Medium,ISO9001,Low
56,T:19.36 V:5.88 H:66.3,4.076870669742116,7.195901549720328,,auto,North,Fam_02,Processing,No Fault,ISO9001,
57,T:24.95 V:6.84 H:62.2,3.817136500447135,3.0831103673458222,1.2902520276587548,auto,West,Fam_12,Assembly,Low,ISO9001,
58,T:19.83 V:10.97 H:47.9,8.351883019065312,5.414550406176661,3.0637353665731637,semi_auto,North,Fam_05,Processing,No Fault,ISO9001,High
59,T:20.77 V:14.01 H:41.8,3.4532051362441125,2.6293995138889943,2.5431168441106693,auto,West,Fam_39,Assembly,Medium,ISO9001,Medium
60,T:23.43 V:7.21 H:55.1,2.6956402826200274,3.567352442207698,2.145349172790804,semi_auto,West,Fam_23,Final,No Fault,ISO9001,High
61,,1.4667138565386963,3.365380605701899,2.473399344236137,semi_auto,East,Fam_04,Init,No Fault,ISO9001,
62,T:20.58 V:3.79 H:40.7,5.469526837408881,4.732254558918475,1.877406722447291,auto,North,Fam_06,Init,No Fault,ISO9001,Medium
63,T:17.31 V:12.15 H:43.5,2.081152189863188,3.0493888352748737,,auto,North,Fam_28,Processing,Low,ISO9001,Low
64,T:24.07 V:5.78 H:59.8,3.607812208653226,3.5729728799243143,1.502788489093716,semi_auto,South,Fam_13,Processing,No Fault,ISO9001,
65,T:23.65 V:10.28 H:42.4,6.599382147908191,3.5219880762692606,2.18874176178643,auto,North,Fam_23,Assembly,Low,ISO9001,
66,T:26.53 V:4.03 H:45.5,4.148412201004224,3.74351465858132,1.6080315431164975,semi_auto,East,Fam_32,Assembly,No Fault,ISO9001,Low
67,T:25.54 V:5.83 H:50.1,7.085068973210417,2.153064686605425,1.0033082844580663,auto,West,Fam_28,Processing,Low,ISO9001,Medium
68,T:22.34 V:8.00 H:66.1,3.181723039972524,2.7793840801236915,1.6959493838588393,semi_auto,North,Fam_02,Assembly,No Fault,ISO9001,Medium
69,T:22.91 V:4.00 H:45.0,0.8052094820847584,3.1299376948453137,1.2647040158731535,auto,East,Fam_17,Processing,,ISO9001,Low
70,T:18.58 V:8.90 H:19.7,6.541611243278559,3.988274432467081,2.3047530701655137,auto,East,Fam_31,Processing,No Fault,ISO9001,Medium
71,T:16.34 V:9.58 H:43.9,3.0157326949349974,2.884004625520007,1.7762187046544873,semi_auto,North,Fam_32,Processing,No Fault,ISO9001,Low
72,T:19.94 V:8.40 H:52.4,2.366322173343706,4.382600248113711,2.238559679035124,auto,North,Fam_23,Processing,No Fault,ISO9001,High
73,T:26.01 V:3.76 H:53.2,5.158330864861251,,1.587388396824236,auto,East,Fam_02,Assembly,No Fault,ISO9001,Medium
74,,3.292463791937128,2.6398676608288065,1.600997237018108,semi_auto,North,Fam_01,Processing,No Fault,ISO9001,Medium
75,T:19.19 V:4.70 H:61.9,2.0652044935355525,,,semi_auto,North,Fam_38,Processing,No Fault,ISO9001,Low
76,T:19.47 V:11.16 H:55.1,2.490787028125179,5.843873633539856,3.157218278340952,auto,West,Fam_37,Final,No Fault,ISO9001,High
77,T:30.19 V:4.71 H:50.9,5.1584527287554085,2.6250269282569683,0.8513354497895392,auto,East,Fam_02,Assembly,No Fault,ISO9001,Low
78,,3.358371020092392,2.5611727232274406,1.6829478035870888,auto,South,Fam_24,Assembly,No Fault,ISO9001,Low
79,T:16.86 V:7.89 H:46.8,2.3330821664924386,4.163990099244651,2.417795097500646,semi_auto,North,Fam_20,Final,No Fault,ISO9001,Low
80,T:25.94 V:2.52 H:46.6,3.661249560229989,2.2787475196051936,0.6250160162678584,semi_auto,North,Fam_26,Final,No Fault,ISO9001,
81,T:17.86 V:7.49 H:54.1,3.0086384082107016,4.38212592286318,2.182435816041181,auto,East,Fam_03,Processing,No Fault,ISO9001,Low
82,T:22.58 V:9.22 H:51.7,1.875818489982158,2.9673052958118675,1.8574412943049048,semi_auto,West,Fam_12,Init,No Fault,ISO9001,Medium
83,T:13.47 V:5.88 H:46.1,4.270164011313334,3.729279102547632,1.7844858236313423,manual,North,Fam_38,Final,No Fault,ISO9001,Low
84,T:19.80 V:9.83 H:59.7,5.018356801350249,4.307147079496175,2.652378891958381,auto,South,Fam_34,Processing,Low,ISO9001,Low
85,,3.152944298234458,2.386118481262416,1.052210495650841,auto,South,Fam_10,Processing,No Fault,ISO9001,Low
86,T:18.28 V:7.58 H:46.4,10.926656023580485,3.3945778463882177,1.8215086855729503,auto,East,Fam_36,Init,No Fault,ISO9001,Low
87,T:18.47 V:4.84 H:43.4,2.781665885784663,2.01992111362228,0.8687777601064612,semi_auto,East,Fam_02,Init,No Fault,ISO9001,Low
88,T:23.42 V:2.91 H:44.9,0.7014843923852447,3.09975681913534,0.9467798462413334,semi_auto,West,Fam_02,Assembly,No Fault,ISO9001,Low
89,T:19.92 V:5.83 H:61.7,0.8452321487343855,3.370351834313042,1.6161684760469002,auto,West,Fam_21,Processing,No Fault,ISO9001,Low
90,T:22.11 V:6.15 H:41.3,0.915527021116886,3.0156323596351755,1.567042345366093,semi_auto,East,Fam_01,Init,No Fault,ISO9001,
91,T:23.92 V:9.52 H:45.7,5.320499470166977,5.673804802960783,2.879465269763685,auto,South,Fam_01,Processing,No Fault,ISO9001,High
92,T:25.19 V:5.79 H:15.7,2.1965133244563475,8.667428862568887,3.673232473464789,manual,South,Fam_16,Assembly,No Fault,ISO9001,High
93,T:21.68 V:8.52 H:73.1,5.089123146157414,4.724436920179145,2.597511144219845,auto,East,Fam_39,Assembly,No Fault,ISO9001,High
94,T:26.16 V:7.81 H:71.0,2.492256760465904,1.9005610207888244,1.508049643275008,semi_auto,West,Fam_22,Assembly,No Fault,ISO9001,
95,T:30.12 V:4.39 H:38.2,,2.1300176395960717,1.0542527909552528,auto,West,Fam_09,Final,No Fault,ISO9001,Low
96,,4.724857881764091,6.048141965737564,3.115610855514017,manual,East,Fam_02,Assembly,No Fault,ISO9001,High
97,T:22.21 V:7.04 H:60.2,4.892878703554386,5.035507934910999,2.440503666425657,auto,West,Fam_33,Processing,No Fault,ISO9001,High
98,T:16.85 V:6.90 H:34.7,1.141551712432802,4.338276428146308,2.066674289511737,auto,North,Fam_33,Processing,No Fault,ISO9001,Low
99,T:27.76 V:10.69 H:44.0,5.161592680621263,2.044137529584207,1.8208592013979208,semi_auto,West,Fam_19,Processing,Low,ISO9001,
100,T:20.90 V:6.90 H:64.9,4.204767979702924,2.3317322910921345,1.134897201414112,auto,West,Fam_09,Processing,No Fault,ISO9001,Low
101,T:22.01 V:7.13 H:49.2,3.730914425352657,3.2419463613045494,1.605055361784664,semi_auto,West,Fam_35,Processing,No Fault,ISO9001,High
102,T:16.58 V:3.62 H:42.9,3.414931473424591,3.129397803328656,1.3773728323658334,manual,North,Fam_12,Processing,,ISO9001,Low
103,T:21.80 V:7.39 H:43.1,7.793226378721213,5.8647552789999535,2.6889893631307253,auto,South,Fam_31,Init,No Fault,ISO9001,High
104,T:23.23 V:8.88 H:41.7,2.373435228319603,3.833214897452697,,auto,South,Fam_21,Init,No Fault,ISO9001,High
105,T:20.01 V:7.60 H:29.6,2.3606074847172804,,2.361115326305101,auto,East,Fam_14,Processing,,ISO9001,Medium
106,T:19.60 V:6.10 H:33.0,4.235010175879981,2.4171734983707203,1.0651131148649464,semi_auto,West,Fam_01,Final,No Fault,ISO9001,Low
107,T:23.75 V:10.83 H:47.9,2.1258011062164077,4.493395038737117,2.960413719017068,semi_auto,South,Fam_02,Assembly,No Fault,ISO9001,High
108,,2.0512307030302743,3.791934184549397,2.32401573262747,auto,East,Fam_06,Final,No Fault,ISO9001,High
109,T:22.51 V:7.47 H:52.4,1.81067930796024,4.497766964167984,2.2384357338174032,auto,South,Fam_11,Processing,No Fault,ISO9001,High
110,T:18.20 V:6.99 H:40.8,2.3832471893422618,5.378263075060249,2.496960467201607,auto,East,Fam_18,Processing,No Fault,ISO9001,Medium
111,T:18.97 V:15.51 H:58.3,5.263310104597064,1.916400672497067,2.5390979453756817,auto,East,Fam_02,Init,No Fault,ISO9001,Medium
112,T:22.34 V:8.83 H:58.3,2.396444225161787,3.700455344796892,1.8579218655615088,semi_auto,South,Fam_28,Processing,No Fault,ISO9001,Low
113,T:13.35 V:11.34 H:46.2,5.0227929755674126,3.2087949477094844,2.328188560944441,auto,North,Fam_32,Final,No Fault,ISO9001,Low
114,T:21.56 V:2.29 H:57.3,3.4020513649387567,2.9881592425098327,0.7418191200137404,semi_auto,East,Fam_10,Assembly,Low,ISO9001,Low
115,,4.935092541152829,3.096002356918141,1.0845683440873328,auto,West,Fam_39,Init,No Fault,ISO9001,Low
116,T:20.83 V:13.21 H:61.6,4.14888965458386,2.613880151625192,2.2914114203748785,semi_auto,South,Fam_18,Processing,No Fault,ISO9001,High
117,T:27.23 V:8.07 H:51.7,2.065398252758624,1.766144226260583,1.2636617829354646,semi_auto,South,Fam_05,Assembly,No Fault,ISO9001,Low
118,T:20.83 V:12.25 H:57.2,1.0125781687031656,3.0924661643081213,,auto,North,Fam_33,Init,No Fault,ISO9001,Medium
119,T:23.01 V:6.01 H:49.6,4.538947572286156,4.000588030675377,1.9928659935923556,semi_auto,South,Fam_05,Processing,No Fault,ISO9001,Medium
120,T:22.61 V:10.04 H:75.7,4.603352305176802,3.2538414036456924,2.244985276855264,auto,East,Fam_06,Processing,Low,ISO9001,High
121,,2.142446557957732,4.875653098472315,,semi_auto,East,Fam_12,Processing,No Fault,ISO9001,Medium
122,T:20.04 V:8.73 H:48.4,4.4147970103898,2.0337796250679965,1.3915694963992045,auto,East,Fam_18,Assembly,No Fault,ISO9001,Medium
123,T:22.58 V:4.49 H:37.7,2.9796634961537887,5.668675220554777,2.3076482608969404,auto,North,Fam_09,Processing,No Fault,ISO9001,Medium
124,T:21.46 V:7.74 H:46.0,3.108628390968657,3.0837392561691908,1.615261756728406,auto,West,Fam_01,Init,No Fault,ISO9001,Medium
125,T:19.02 V:6.89 H:46.9,3.921587128935,2.9692762572197453,1.6501632420122618,semi_auto,North,Fam_36,Assembly,Medium,ISO9001,Low
126,T:27.48 V:7.89 H:47.9,4.820212500050688,3.544313969448797,1.9146296510645944,semi_auto,East,Fam_09,Processing,Low,ISO9001,Medium
127,T:19.94 V:11.05 H:55.2,4.841933034058252,5.072765023791037,2.9984921694175206,auto,South,Fam_32,Assembly,No Fault,ISO9001,Medium
128,T:19.96 V:9.46 H:47.9,4.32078001567602,2.8004626786222606,1.991858204507192,semi_auto,South,Fam_25,Processing,No Fault,ISO9001,Medium
129,T:30.65 V:5.61 H:55.1,0.9946753434964302,3.858101373133552,1.7107959127316497,semi_auto,South,Fam_23,Init,No Fault,ISO9001,Low
130,T:24.32 V:14.70 H:63.9,6.802871814607985,5.227368433199065,3.5916659895964425,auto,East,Fam_13,Assembly,No Fault,ISO9001,High
131,T:25.53 V:9.72 H:58.6,4.067053189184604,2.430797618025985,1.6202738558968377,auto,East,Fam_35,Assembly,No Fault,ISO9001,High
132,T:26.13 V:10.33 H:37.9,4.109723120358878,1.5153411199000038,1.5408751503403917,auto,East,Fam_01,Processing,Low,ISO9001,Medium
133,T:27.61 V:6.05 H:52.4,2.5602582877810707,3.6602444389791526,1.8346509820558443,auto,East,Fam_11,Final,No Fault,ISO9001,Medium
134,T:20.46 V:5.84 H:47.0,3.434892879562064,1.3106991026158776,0.6603050156846412,semi_auto,West,Fam_13,Processing,No Fault,ISO9001,Low
135,T:22.17 V:10.79 H:55.9,3.936258692453965,3.304583316784941,2.103415149050641,auto,West,Fam_09,Final,No Fault,ISO9001,Medium
136,T:18.12 V:6.75 H:47.1,8.339775389242323,2.9298116699883305,1.514913608854886,semi_auto,South,Fam_02,Assembly,No Fault,ISO9001,Low
137,T:22.32 V:7.21 H:56.4,2.8300286440072764,5.063571511148367,2.3827772998911523,auto,East,Fam_09,Init,No Fault,ISO9001,Medium
138,T:22.96 V:16.96 H:55.0,3.6554205113559126,6.716369055139681,4.709774805893666,manual,South,Fam_10,Processing,No Fault,ISO9001,High
139,T:23.20 V:4.79 H:48.1,6.795193791532037,2.6612421655491,1.247754373274902,semi_auto,East,Fam_06,Final,No Fault,ISO9001,Medium
140,T:28.85 V:9.26 H:36.9,4.235513361558153,2.192801750358117,1.5598797709553656,semi_auto,South,Fam_03,Final,No Fault,ISO9001,Low
141,T:21.74 V:7.14 H:50.1,4.529821023120815,5.939275671247496,2.54096848269024,semi_auto,South,Fam_10,Processing,No Fault,ISO9001,High
142,T:19.15 V:11.34 H:53.7,4.994734539347883,4.639723611689391,2.845642650583333,manual,West,Fam_06,Assembly,No Fault,ISO9001,High
143,T:17.08 V:6.82 H:48.7,7.2104101877073985,3.352756834267592,1.4028231828347502,auto,North,Fam_17,Processing,No Fault,ISO9001,
144,T:19.15 V:6.05 H:78.3,4.643855656763031,5.978632771286817,2.742330106723422,auto,North,Fam_26,Processing,No Fault,ISO9001,Medium
145,T:19.10 V:9.48 H:39.7,4.82514279991773,3.409211598461361,2.1136441372664603,auto,East,Fam_01,Processing,,ISO9001,Medium
146,T:19.97 V:8.76 H:40.8,,3.897175919090973,1.7402473811265986,auto,North,Fam_02,Final,,ISO9001,Medium
147,T:25.82 V:5.65 H:66.2,0.86419117734151,6.672414931645205,2.9863514174718797,auto,East,Fam_35,Processing,Low,ISO9001,High
148,T:27.17 V:3.45 H:46.3,6.871402079678414,2.0946059404861863,0.7354586814778488,auto,South,Fam_16,Processing,No Fault,ISO9001,Low
149,T:23.69 V:4.58 H:34.8,3.25603685741744,2.886136790596729,1.2059401825117042,auto,West,Fam_33,Assembly,No Fault,ISO9001,Low
150,T:20.03 V:10.65 H:68.6,5.017451008759117,3.706404774061504,2.399416832575417,auto,East,Fam_17,Assembly,No Fault,ISO9001,Medium
151,T:22.15 V:10.86 H:55.6,2.889038712792092,7.257887364380994,3.9625881292345295,manual,East,Fam_18,Init,No Fault,ISO9001,High
152,T:24.77 V:10.61 H:71.8,2.554512554206126,2.205792787372295,1.860295129581732,semi_auto,East,Fam_15,Assembly,Low,ISO9001,Medium
153,T:26.86 V:3.42 H:37.7,4.433188991882206,2.284562325967824,0.917324729452162,semi_auto,East,Fam_14,Init,No Fault,ISO9001,
154,T:23.66 V:7.36 H:39.3,4.006814520600398,2.412742326254165,1.2285444203142497,semi_auto,South,Fam_07,Assembly,No Fault,ISO9001,Medium
155,T:25.57 V:4.94 H:36.4,2.900498739257092,2.711979656182653,1.048521759429038,semi_auto,South,Fam_09,Processing,No Fault,ISO9001,Low
156,T:22.11 V:4.61 H:73.1,2.17536056360466,2.9231565606944216,1.0960502308482514,semi_auto,North,Fam_03,Processing,No Fault,ISO9001,Medium
157,T:18.14 V:6.62 H:54.6,4.310665450958851,3.787810158535633,1.8461059149395596,semi_auto,West,Fam_40,Processing,No Fault,ISO9001,Medium
158,T:25.30 V:9.91 H:40.0,2.0389805581471787,4.081728914486588,2.4454046466708417,semi_auto,South,Fam_04,Assembly,,ISO9001,High
159,T:16.01 V:11.66 H:44.8,4.528454542593286,4.3880993576919805,,manual,West,Fam_02,Processing,No Fault,ISO9001,Low
160,T:27.92 V:11.17 H:53.5,0.964061116944067,2.66271381340902,2.22313770947241,semi_auto,West,Fam_02,Init,No Fault,ISO9001,Medium
161,T:26.63 V:7.02 H:46.2,3.11530828381938,7.77115909707112,3.3208572147328934,semi_auto,South,Fam_14,Final,No Fault,ISO9001,High
162,T:21.80 V:5.55 H:57.7,7.411960191612392,7.737885754864354,3.1050431194122274,auto,East,Fam_10,Processing,,ISO9001,High
163,T:24.32 V:10.90 H:39.6,1.4580596164150377,5.332958844704704,3.2044509616239107,manual,South,Fam_17,Processing,No Fault,ISO9001,High
164,T:26.27 V:9.26 H:39.7,5.575368271684058,5.570836938496846,2.6453851018182624,auto,North,Fam_35,Assembly,No Fault,ISO9001,High
165,T:24.55 V:10.36 H:38.3,4.34367414596182,6.184592580169338,3.5082162432550126,auto,North,Fam_29,Init,No Fault,ISO9001,High
166,T:22.78 V:9.20 H:58.7,3.010663958197918,3.378799274290271,2.169351108930521,manual,South,Fam_08,Processing,No Fault,ISO9001,Medium
167,T:19.89 V:4.81 H:56.1,1.6236036236404814,3.3900385195579856,1.4445990410252716,manual,West,Fam_26,Init,No Fault,ISO9001,Low
168,T:28.93 V:15.84 H:55.6,3.940379116700603,2.1346230123439613,2.701920688991701,semi_auto,South,Fam_39,Assembly,,ISO9001,Low
169,T:22.03 V:2.78 H:43.6,5.543026327342613,2.1519890189148274,0.3869915801179091,semi_auto,West,Fam_12,Processing,No Fault,ISO9001,Low
170,T:23.92 V:2.16 H:41.9,2.108225095806616,4.01292656176174,1.3218524534740248,semi_auto,East,Fam_03,Assembly,Low,ISO9001,Medium
171,T:21.93 V:12.70 H:54.2,2.0323412322027914,6.071167280085279,3.550085985364801,auto,East,Fam_40,Assembly,,ISO9001,High
172,T:17.76 V:8.35 H:49.2,6.590325689053503,5.038282712051474,2.6090172604694923,manual,East,Fam_08,Init,,ISO9001,Medium
173,T:26.22 V:13.64 H:56.3,1.4440511578487916,3.914259051242293,2.964511882149106,auto,South,Fam_37,Assembly,No Fault,ISO9001,High
174,T:18.91 V:10.47 H:62.9,2.9039799809276103,,2.286795024206336,semi_auto,West,Fam_02,Processing,No Fault,ISO9001,Low
175,T:24.67 V:7.90 H:43.0,7.188507712338037,4.303947472748266,2.4275736243252526,auto,North,Fam_22,Final,No Fault,ISO9001,High
176,T:27.54 V:8.26 H:41.2,3.3753207826846365,4.077770925347665,2.087328502503897,manual,North,Fam_21,Init,No Fault,ISO9001,Medium
177,T:26.52 V:7.96 H:57.1,3.35809969816646,1.3953331311154291,1.222981686422329,semi_auto,South,Fam_15,Init,No Fault,ISO9001,Medium
178,T:23.11 V:7.39 H:52.1,4.890316166501948,2.68400762234776,1.6043170539037532,auto,East,Fam_23,Processing,,ISO9001,High
179,T:22.49 V:10.76 H:50.4,2.3677795172170266,2.2078835160944807,,semi_auto,West,Fam_08,Init,No Fault,ISO9001,Medium
180,T:24.55 V:9.79 H:55.6,6.289996674842566,6.833221024289902,3.6007080989135964,semi_auto,North,Fam_30,Assembly,No Fault,ISO9001,High
181,T:18.69 V:10.04 H:50.9,1.323640758012884,2.4876682062143627,1.912678451022551,semi_auto,North,Fam_30,Init,No Fault,ISO9001,Low
182,T:22.17 V:8.54 H:68.0,5.327713429873304,3.7138242433926223,2.230108350373558,auto,East,Fam_10,Assembly,No Fault,ISO9001,High
183,T:28.35 V:10.67 H:54.6,4.7858749679579295,2.1955237354585315,1.759202575233601,semi_auto,East,Fam_12,Processing,No Fault,ISO9001,Medium
184,T:21.68 V:5.25 H:34.6,2.0407992257776204,2.622659031084787,1.3003986753133172,semi_auto,East,Fam_12,Processing,No Fault,ISO9001,Medium
185,T:18.48 V:5.42 H:40.4,5.213090247148176,5.430088977713786,2.452482441161669,semi_auto,North,Fam_22,Init,No Fault,ISO9001,Medium
186,T:24.57 V:12.63 H:40.3,5.870629932315078,2.715200270650413,,auto,West,Fam_01,Processing,No Fault,ISO9001,High
187,T:26.66 V:7.31 H:58.8,8.85289676496695,,2.464398207136506,auto,South,Fam_07,Processing,No Fault,ISO9001,High
188,T:24.16 V:4.54 H:54.4,6.565090108754954,3.245764700855948,,semi_auto,East,Fam_05,Processing,Low,ISO9001,Low
189,T:22.56 V:6.81 H:61.1,0.6992718716022014,2.9612076870316764,1.555550060614562,semi_auto,North,Fam_01,Assembly,No Fault,ISO9001,Low
190,T:18.38 V:9.25 H:48.9,4.102482894435089,3.068059536952769,2.1679120648639723,auto,East,Fam_16,Processing,,ISO9001,Low
