device_info,sensor_packet,runtime_hours,lubrication_index,machine_health_index,operation_mode,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality
BOT-9681,T:23.43 V:7.21 H:55.1,2.6956402826200274,3.567352442207698,2.145349172790804,semi_auto,West,Fam_23,Final,No Fault,ISO9001,High
LINE-2884,,1.4667138565386963,3.365380605701899,2.473399344236137,semi_auto,East,Fam_04,Init,No Fault,ISO9001,
BOT-9416,T:20.58 V:3.79 H:40.7,5.469526837408881,4.732254558918475,1.877406722447291,auto,North,Fam_06,Init,No Fault,ISO9001,Medium
LINE-8870,T:17.31 V:12.15 H:43.5,2.0811521898631877,3.0493888352748737,,auto,North,Fam_28,Processing,Low,ISO9001,Low
MCH-9611,T:24.07 V:5.78 H:59.8,3.607812208653226,3.5729728799243143,1.502788489093716,semi_auto,South,Fam_13,Processing,No Fault,ISO9001,
BOT-8176,T:23.65 V:10.28 H:42.4,6.599382147908191,3.5219880762692606,2.18874176178643,auto,North,Fam_23,Assembly,Low,ISO9001,
LINE-5757,T:26.53 V:4.03 H:45.5,4.148412201004224,3.7435146585813195,1.6080315431164975,semi_auto,East,Fam_32,Assembly,No Fault,ISO9001,Low
BOT-6459,T:25.54 V:5.83 H:50.1,7.085068973210417,2.1530646866054255,1.0033082844580665,auto,West,Fam_28,Processing,Low,ISO9001,Medium
BOT-2860,T:22.34 V:8.00 H:66.1,3.1817230399725234,2.7793840801236915,1.6959493838588393,semi_auto,North,Fam_02,Assembly,No Fault,ISO9001,Medium
MCH-4105,T:22.91 V:4.00 H:45.0,0.8052094820847584,3.1299376948453137,1.2647040158731535,auto,East,Fam_17,Processing,,ISO9001,Low
MCH-5167,T:18.58 V:8.90 H:19.7,6.541611243278559,3.9882744324670805,2.3047530701655137,auto,East,Fam_31,Processing,No Fault,ISO9001,Medium
MCH-9520,T:16.34 V:9.58 H:43.9,3.0157326949349974,2.884004625520007,1.7762187046544873,semi_auto,North,Fam_32,Processing,No Fault,ISO9001,Low
LINE-8152,T:19.94 V:8.40 H:52.4,2.366322173343706,4.382600248113711,2.2385596790351237,auto,North,Fam_23,Processing,No Fault,ISO9001,High
BOT-6069,T:26.01 V:3.76 H:53.2,5.158330864861251,,1.587388396824236,auto,East,Fam_02,Assembly,No Fault,ISO9001,Medium
MCH-6354,,3.292463791937128,2.6398676608288065,1.600997237018108,semi_auto,North,Fam_01,Processing,No Fault,ISO9001,Medium
LINE-4894,T:19.19 V:4.70 H:61.9,2.0652044935355525,,,semi_auto,North,Fam_38,Processing,No Fault,ISO9001,Low
BOT-4774,T:19.47 V:11.16 H:55.1,2.490787028125179,5.8438736335398564,3.157218278340952,auto,West,Fam_37,Final,No Fault,ISO9001,High
MCH-9103,T:30.19 V:4.71 H:50.9,5.1584527287554085,2.6250269282569683,0.8513354497895392,auto,East,Fam_02,Assembly,No Fault,ISO9001,Low
LINE-1037,,3.3583710200923917,2.5611727232274406,1.6829478035870888,auto,South,Fam_24,Assembly,No Fault,ISO9001,Low
LINE-3873,T:16.86 V:7.89 H:46.8,2.3330821664924386,4.163990099244651,2.417795097500646,semi_auto,North,Fam_20,Final,No Fault,ISO9001,Low
LINE-4674,T:25.94 V:2.52 H:46.6,3.6612495602299884,2.2787475196051936,0.6250160162678584,semi_auto,North,Fam_26,Final,No Fault,ISO9001,
BOT-7263,T:17.86 V:7.49 H:54.1,3.0086384082107016,4.38212592286318,2.182435816041181,auto,East,Fam_03,Processing,No Fault,ISO9001,Low
LINE-4706,T:22.58 V:9.22 H:51.7,1.875818489982158,2.9673052958118675,1.8574412943049046,semi_auto,West,Fam_12,Init,No Fault,ISO9001,Medium
LINE-3824,T:13.47 V:5.88 H:46.1,4.270164011313334,3.729279102547632,1.7844858236313423,manual,North,Fam_38,Final,No Fault,ISO9001,Low
BOT-1705,T:19.80 V:9.83 H:59.7,5.018356801350249,4.307147079496175,2.6523788919583815,auto,South,Fam_34,Processing,Low,ISO9001,Low
LINE-3353,,3.152944298234458,2.386118481262416,1.0522104956508407,auto,South,Fam_10,Processing,No Fault,ISO9001,Low
LINE-1951,T:18.28 V:7.58 H:46.4,10.926656023580485,3.3945778463882177,1.8215086855729505,auto,East,Fam_36,Init,No Fault,ISO9001,Low
MCH-7306,T:18.47 V:4.84 H:43.4,2.781665885784663,2.0199211136222797,0.8687777601064612,semi_auto,East,Fam_02,Init,No Fault,ISO9001,Low
LINE-4849,T:23.42 V:2.91 H:44.9,0.7014843923852447,3.09975681913534,0.9467798462413334,semi_auto,West,Fam_02,Assembly,No Fault,ISO9001,Low
BOT-3050,T:19.92 V:5.83 H:61.7,0.8452321487343855,3.370351834313042,1.6161684760469002,auto,West,Fam_21,Processing,No Fault,ISO9001,Low
BOT-5860,T:22.11 V:6.15 H:41.3,0.9155270211168861,3.0156323596351755,1.5670423453660933,semi_auto,East,Fam_01,Init,No Fault,ISO9001,
LINE-5437,T:23.92 V:9.52 H:45.7,5.320499470166977,5.673804802960783,2.879465269763685,auto,South,Fam_01,Processing,No Fault,ISO9001,High
LINE-5254,T:25.19 V:5.79 H:15.7,2.1965133244563475,8.667428862568887,3.673232473464789,manual,South,Fam_16,Assembly,No Fault,ISO9001,High
MCH-6219,T:21.68 V:8.52 H:73.1,5.089123146157414,4.724436920179145,2.597511144219845,auto,East,Fam_39,Assembly,No Fault,ISO9001,High
BOT-6639,T:26.16 V:7.81 H:71.0,2.492256760465904,1.9005610207888244,1.508049643275008,semi_auto,West,Fam_22,Assembly,No Fault,ISO9001,
BOT-2699,T:30.12 V:4.39 H:38.2,,2.1300176395960713,1.0542527909552528,auto,West,Fam_09,Final,No Fault,ISO9001,Low
MCH-2395,,4.724857881764091,6.048141965737564,3.115610855514017,manual,East,Fam_02,Assembly,No Fault,ISO9001,High
LINE-7580,T:22.21 V:7.04 H:60.2,4.892878703554386,5.035507934910999,2.440503666425657,auto,West,Fam_33,Processing,No Fault,ISO9001,High
MCH-9752,T:16.85 V:6.90 H:34.7,1.141551712432802,4.338276428146308,2.066674289511737,auto,North,Fam_33,Processing,No Fault,ISO9001,Low
BOT-5935,T:27.76 V:10.69 H:44.0,5.161592680621263,2.044137529584207,1.8208592013979208,semi_auto,West,Fam_19,Processing,Low,ISO9001,
LINE-5056,T:20.90 V:6.90 H:64.9,4.204767979702924,2.3317322910921345,1.1348972014141119,auto,West,Fam_09,Processing,No Fault,ISO9001,Low
LINE-6592,T:22.01 V:7.13 H:49.2,3.7309144253526565,3.2419463613045494,1.605055361784664,semi_auto,West,Fam_35,Processing,No Fault,ISO9001,High
BOT-1311,T:16.58 V:3.62 H:42.9,3.414931473424591,3.1293978033286556,1.3773728323658334,manual,North,Fam_12,Processing,,ISO9001,Low
MCH-4348,T:21.80 V:7.39 H:43.1,7.793226378721213,5.8647552789999535,2.6889893631307253,auto,South,Fam_31,Init,No Fault,ISO9001,High
MCH-4228,T:23.23 V:8.88 H:41.7,2.373435228319603,3.833214897452697,,auto,South,Fam_21,Init,No Fault,ISO9001,High
LINE-4781,T:20.01 V:7.60 H:29.6,2.3606074847172804,,2.3611153263051006,auto,East,Fam_14,Processing,,ISO9001,Medium
MCH-7694,T:19.60 V:6.10 H:33.0,4.235010175879981,2.4171734983707203,1.0651131148649464,semi_auto,West,Fam_01,Final,No Fault,ISO9001,Low
MCH-5452,T:23.75 V:10.83 H:47.9,2.1258011062164073,4.493395038737117,2.960413719017068,semi_auto,South,Fam_02,Assembly,No Fault,ISO9001,High
BOT-8701,,2.0512307030302743,3.791934184549397,2.32401573262747,auto,East,Fam_06,Final,No Fault,ISO9001,High
MCH-5229,T:22.51 V:7.47 H:52.4,1.81067930796024,4.497766964167984,2.2384357338174032,auto,South,Fam_11,Processing,No Fault,ISO9001,High
MCH-1305,T:18.20 V:6.99 H:40.8,2.3832471893422618,5.378263075060249,2.496960467201607,auto,East,Fam_18,Processing,No Fault,ISO9001,Medium
LINE-7080,T:18.97 V:15.51 H:58.3,5.263310104597064,1.916400672497067,2.5390979453756817,auto,East,Fam_02,Init,No Fault,ISO9001,Medium
BOT-8181,T:22.34 V:8.83 H:58.3,2.396444225161787,3.7004553447968918,1.8579218655615088,semi_auto,South,Fam_28,Processing,No Fault,ISO9001,Low
BOT-6194,T:13.35 V:11.34 H:46.2,5.0227929755674126,3.2087949477094844,2.3281885609444415,auto,North,Fam_32,Final,No Fault,ISO9001,Low
BOT-9436,T:21.56 V:2.29 H:57.3,3.4020513649387567,2.9881592425098327,0.7418191200137404,semi_auto,East,Fam_10,Assembly,Low,ISO9001,Low
LINE-4746,,4.935092541152829,3.096002356918141,1.0845683440873328,auto,West,Fam_39,Init,No Fault,ISO9001,Low
BOT-8173,T:20.83 V:13.21 H:61.6,4.14888965458386,2.613880151625192,2.2914114203748785,semi_auto,South,Fam_18,Processing,No Fault,ISO9001,High
MCH-1016,T:27.23 V:8.07 H:51.7,2.065398252758624,1.766144226260583,1.2636617829354646,semi_auto,South,Fam_05,Assembly,No Fault,ISO9001,Low
LINE-1350,T:20.83 V:12.25 H:57.2,1.0125781687031656,3.0924661643081213,,auto,North,Fam_33,Init,No Fault,ISO9001,Medium
MCH-8145,T:23.01 V:6.01 H:49.6,4.538947572286156,4.000588030675377,1.9928659935923554,semi_auto,South,Fam_05,Processing,No Fault,ISO9001,Medium
BOT-8859,T:22.61 V:10.04 H:75.7,4.603352305176802,3.2538414036456924,2.244985276855264,auto,East,Fam_06,Processing,Low,ISO9001,High
LINE-5673,,2.1424465579577316,4.875653098472315,,semi_auto,East,Fam_12,Processing,No Fault,ISO9001,Medium
BOT-7773,T:20.04 V:8.73 H:48.4,4.4147970103898,2.0337796250679965,1.3915694963992045,auto,East,Fam_18,Assembly,No Fault,ISO9001,Medium
LINE-3938,T:22.58 V:4.49 H:37.7,2.9796634961537887,5.668675220554777,2.3076482608969404,auto,North,Fam_09,Processing,No Fault,ISO9001,Medium
LINE-7542,T:21.46 V:7.74 H:46.0,3.108628390968657,3.0837392561691908,1.615261756728406,auto,West,Fam_01,Init,No Fault,ISO9001,Medium
MCH-5499,T:19.02 V:6.89 H:46.9,3.9215871289349997,2.9692762572197453,1.6501632420122618,semi_auto,North,Fam_36,Assembly,Medium,ISO9001,Low
MCH-3731,T:27.48 V:7.89 H:47.9,4.820212500050688,3.544313969448797,1.9146296510645946,semi_auto,East,Fam_09,Processing,Low,ISO9001,Medium
MCH-1840,T:19.94 V:11.05 H:55.2,4.841933034058252,5.072765023791037,2.9984921694175206,auto,South,Fam_32,Assembly,No Fault,ISO9001,Medium
MCH-2571,T:19.96 V:9.46 H:47.9,4.32078001567602,2.8004626786222606,1.9918582045071922,semi_auto,South,Fam_25,Processing,No Fault,ISO9001,Medium
BOT-9141,T:30.65 V:5.61 H:55.1,0.9946753434964302,3.8581013731335516,1.7107959127316497,semi_auto,South,Fam_23,Init,No Fault,ISO9001,Low
MCH-4993,T:24.32 V:14.70 H:63.9,6.802871814607985,5.227368433199065,3.5916659895964425,auto,East,Fam_13,Assembly,No Fault,ISO9001,High
BOT-9906,T:25.53 V:9.72 H:58.6,4.067053189184604,2.430797618025985,1.6202738558968375,auto,East,Fam_35,Assembly,No Fault,ISO9001,High
LINE-4175,T:26.13 V:10.33 H:37.9,4.109723120358878,1.5153411199000038,1.5408751503403917,auto,East,Fam_01,Processing,Low,ISO9001,Medium
LINE-1528,T:27.61 V:6.05 H:52.4,2.5602582877810707,3.6602444389791526,1.8346509820558445,auto,East,Fam_11,Final,No Fault,ISO9001,Medium
BOT-3305,T:20.46 V:5.84 H:47.0,3.4348928795620637,1.3106991026158776,0.6603050156846412,semi_auto,West,Fam_13,Processing,No Fault,ISO9001,Low
LINE-4223,T:22.17 V:10.79 H:55.9,3.9362586924539644,3.3045833167849414,2.103415149050641,auto,West,Fam_09,Final,No Fault,ISO9001,Medium
MCH-7308,T:18.12 V:6.75 H:47.1,8.339775389242323,2.9298116699883305,1.514913608854886,semi_auto,South,Fam_02,Assembly,No Fault,ISO9001,Low
BOT-7569,T:22.32 V:7.21 H:56.4,2.8300286440072764,5.063571511148367,2.3827772998911523,auto,East,Fam_09,Init,No Fault,ISO9001,Medium
LINE-7631,T:22.96 V:16.96 H:55.0,3.6554205113559126,6.716369055139681,4.709774805893666,manual,South,Fam_10,Processing,No Fault,ISO9001,High
LINE-3827,T:23.20 V:4.79 H:48.1,6.795193791532037,2.6612421655491,1.2477543732749021,semi_auto,East,Fam_06,Final,No Fault,ISO9001,Medium
BOT-4419,T:28.85 V:9.26 H:36.9,4.235513361558153,2.192801750358117,1.5598797709553656,semi_auto,South,Fam_03,Final,No Fault,ISO9001,Low
MCH-6102,T:21.74 V:7.14 H:50.1,4.529821023120815,5.939275671247496,2.54096848269024,semi_auto,South,Fam_10,Processing,No Fault,ISO9001,High
BOT-6456,T:19.15 V:11.34 H:53.7,4.994734539347883,4.639723611689391,2.845642650583333,manual,West,Fam_06,Assembly,No Fault,ISO9001,High
BOT-4748,T:17.08 V:6.82 H:48.7,7.2104101877073985,3.3527568342675917,1.4028231828347502,auto,North,Fam_17,Processing,No Fault,ISO9001,
BOT-2711,T:19.15 V:6.05 H:78.3,4.643855656763031,5.978632771286817,2.742330106723422,auto,North,Fam_26,Processing,No Fault,ISO9001,Medium
MCH-7967,T:19.10 V:9.48 H:39.7,4.82514279991773,3.409211598461361,2.1136441372664603,auto,East,Fam_01,Processing,,ISO9001,Medium
MCH-5686,T:19.97 V:8.76 H:40.8,,3.897175919090973,1.7402473811265986,auto,North,Fam_02,Final,,ISO9001,Medium
MCH-9625,T:25.82 V:5.65 H:66.2,0.86419117734151,6.672414931645205,2.9863514174718793,auto,East,Fam_35,Processing,Low,ISO9001,High
MCH-9513,T:27.17 V:3.45 H:46.3,6.871402079678414,2.0946059404861863,0.7354586814778488,auto,South,Fam_16,Processing,No Fault,ISO9001,Low
MCH-8994,T:23.69 V:4.58 H:34.8,3.2560368574174396,2.886136790596729,1.2059401825117042,auto,West,Fam_33,Assembly,No Fault,ISO9001,Low
BOT-9645,T:20.03 V:10.65 H:68.6,5.017451008759117,3.706404774061504,2.399416832575417,auto,East,Fam_17,Assembly,No Fault,ISO9001,Medium
MCH-6587,T:22.15 V:10.86 H:55.6,2.8890387127920922,7.257887364380994,3.9625881292345304,manual,East,Fam_18,Init,No Fault,ISO9001,High
LINE-3683,T:24.77 V:10.61 H:71.8,2.554512554206126,2.205792787372295,1.8602951295817318,semi_auto,East,Fam_15,Assembly,Low,ISO9001,Medium
MCH-2442,T:26.86 V:3.42 H:37.7,4.433188991882206,2.2845623259678236,0.9173247294521619,semi_auto,East,Fam_14,Init,No Fault,ISO9001,
LINE-1946,T:23.66 V:7.36 H:39.3,4.006814520600398,2.412742326254165,1.2285444203142495,semi_auto,South,Fam_07,Assembly,No Fault,ISO9001,Medium
LINE-9522,T:25.57 V:4.94 H:36.4,2.9004987392570922,2.711979656182653,1.0485217594290381,semi_auto,South,Fam_09,Processing,No Fault,ISO9001,Low
LINE-3432,T:22.11 V:4.61 H:73.1,2.1753605636046593,2.9231565606944216,1.0960502308482514,semi_auto,North,Fam_03,Processing,No Fault,ISO9001,Medium
MCH-1212,T:18.14 V:6.62 H:54.6,4.310665450958851,3.787810158535633,1.8461059149395593,semi_auto,West,Fam_40,Processing,No Fault,ISO9001,Medium
MCH-1337,T:25.30 V:9.91 H:40.0,2.0389805581471787,4.081728914486588,2.4454046466708417,semi_auto,South,Fam_04,Assembly,,ISO9001,High
LINE-3679,T:16.01 V:11.66 H:44.8,4.528454542593286,4.3880993576919805,,manual,West,Fam_02,Processing,No Fault,ISO9001,Low
LINE-9813,T:27.92 V:11.17 H:53.5,0.964061116944067,2.6627138134090202,2.22313770947241,semi_auto,West,Fam_02,Init,No Fault,ISO9001,Medium
LINE-3534,T:26.63 V:7.02 H:46.2,3.11530828381938,7.77115909707112,3.3208572147328934,semi_auto,South,Fam_14,Final,No Fault,ISO9001,High
LINE-1918,T:21.80 V:5.55 H:57.7,7.411960191612392,7.7378857548643545,3.1050431194122274,auto,East,Fam_10,Processing,,ISO9001,High
BOT-7045,T:24.32 V:10.90 H:39.6,1.4580596164150377,5.332958844704704,3.2044509616239107,manual,South,Fam_17,Processing,No Fault,ISO9001,High
MCH-1537,T:26.27 V:9.26 H:39.7,5.575368271684058,5.570836938496846,2.6453851018182624,auto,North,Fam_35,Assembly,No Fault,ISO9001,High
BOT-5385,T:24.55 V:10.36 H:38.3,4.34367414596182,6.184592580169338,3.5082162432550126,auto,North,Fam_29,Init,No Fault,ISO9001,High
MCH-1775,T:22.78 V:9.20 H:58.7,3.010663958197918,3.378799274290271,2.169351108930521,manual,South,Fam_08,Processing,No Fault,ISO9001,Medium
LINE-1835,T:19.89 V:4.81 H:56.1,1.6236036236404814,3.3900385195579856,1.4445990410252716,manual,West,Fam_26,Init,No Fault,ISO9001,Low
LINE-4240,T:28.93 V:15.84 H:55.6,3.940379116700603,2.1346230123439613,2.701920688991701,semi_auto,South,Fam_39,Assembly,,ISO9001,Low
MCH-1115,T:22.03 V:2.78 H:43.6,5.543026327342613,2.1519890189148274,0.38699158011790913,semi_auto,West,Fam_12,Processing,No Fault,ISO9001,Low
BOT-8654,T:23.92 V:2.16 H:41.9,2.108225095806616,4.01292656176174,1.3218524534740248,semi_auto,East,Fam_03,Assembly,Low,ISO9001,Medium
MCH-6438,T:21.93 V:12.70 H:54.2,2.0323412322027914,6.071167280085279,3.550085985364801,auto,East,Fam_40,Assembly,,ISO9001,High
BOT-9399,T:17.76 V:8.35 H:49.2,6.590325689053503,5.038282712051474,2.6090172604694923,manual,East,Fam_08,Init,,ISO9001,Medium
MCH-5422,T:26.22 V:13.64 H:56.3,1.4440511578487916,3.914259051242293,2.964511882149106,auto,South,Fam_37,Assembly,No Fault,ISO9001,High
MCH-6004,T:18.91 V:10.47 H:62.9,2.9039799809276103,,2.286795024206336,semi_auto,West,Fam_02,Processing,No Fault,ISO9001,Low
MCH-6411,T:24.67 V:7.90 H:43.0,7.188507712338037,4.303947472748266,2.4275736243252526,auto,North,Fam_22,Final,No Fault,ISO9001,High
MCH-5193,T:27.54 V:8.26 H:41.2,3.3753207826846365,4.077770925347665,2.0873285025038975,manual,North,Fam_21,Init,No Fault,ISO9001,Medium
BOT-6075,T:26.52 V:7.96 H:57.1,3.35809969816646,1.3953331311154291,1.222981686422329,semi_auto,South,Fam_15,Init,No Fault,ISO9001,Medium
