device_info,sensor_packet,sunlight_hours,soil_moisture_index,soil_health_index,irrigation_type,region,crop_variety,growth_stage,disease_severity,certification_level,yield_category
NODE-5317,T=24.96|N=10.17|H=66.2,4.233366461535995,6.141611729919351,4.286912770476368,flood,South,Var_08,Flowering,No Disease,ISO9001,High
SENSOR-2380,T=19.59|N=7.38|H=63.2,1.7115223494514573,2.3428019133019125,1.5484249219421196,drip,West,Var_34,Maturity,No Disease,ISO9001,
DEV-4128,,5.002050233323197,1.2512304560870973,1.520493467824757,sprinkler,North,Var_13,Maturity,No Disease,ISO9001,Medium
DEV-9765,T=18.27|N=9.65|H=36.3,3.215268090218532,3.9825936295740663,2.7612789813046823,drip,East,Var_03,Vegetative,No Disease,ISO9001,Low
NODE-7017,T=20.47|N=3.98|H=54.2,1.7444429565818407,4.938460527342795,2.1507693481390215,drip,West,Var_11,Vegetative,No Disease,ISO9001,Low
DEV-4814,T=21.17|N=8.72|H=51.7,3.8951092133908776,2.7955584155652637,1.8507767796279948,sprinkler,West,Var_39,Flowering,No Disease,ISO9001,Medium
DEV-2978,T=24.53|N=7.52|H=33.9,2.26106232722524,6.5566827823759555,4.004587723560736,drip,East,Var_29,Vegetative,,ISO9001,High
SENSOR-1568,T=29.45|N=9.41|H=69.0,3.6792169562959245,3.433114980644272,,sprinkler,South,Var_02,Seedling,No Disease,ISO9001,Low
SENSOR-8932,T=24.37|N=4.50|H=51.1,5.831699525439782,3.4174478885730784,1.4931977472841909,sprinkler,North,Var_06,Maturity,No Disease,ISO9001,
NODE-5423,T=25.01|N=14.70|H=48.8,1.5647212735313563,4.103116324807915,3.9502248536161515,drip,West,Var_13,Vegetative,No Disease,ISO9001,High
NODE-6618,T=20.96|N=10.40|H=49.3,3.1404311548012247,4.810051288949364,3.475729671317045,drip,East,Var_08,Flowering,No Disease,ISO9001,High
NODE-3594,T=30.69|N=20.12|H=55.3,3.816055420609076,9.014461809596073,7.912308096349036,flood,South,Var_24,Vegetative,No Disease,ISO9001,High
NODE-1505,T=20.62|N=6.99|H=41.0,3.655392534015194,7.007810121820961,4.296145259345646,drip,North,Var_09,Vegetative,No Disease,ISO9001,High
NODE-2904,T=21.99|N=7.81|H=73.2,2.703123266090249,2.9947165269114517,2.120501780500323,sprinkler,South,Var_25,Vegetative,No Disease,ISO9001,Medium
SENSOR-2237,T=20.61|N=7.65|H=45.9,2.091338515344119,2.5048429009461404,2.0627520791466547,sprinkler,East,Var_26,Flowering,No Disease,ISO9001,Medium
SENSOR-2866,T=21.28|N=10.81|H=56.4,1.256796090676374,3.049443948879529,2.7449093835300897,drip,West,Var_05,Vegetative,No Disease,ISO9001,Medium
NODE-2289,,4.668122349745952,4.110411264042259,2.2708635672709123,drip,East,Var_28,Maturity,No Disease,ISO9001,High
DEV-6210,T=22.94|N=9.69|H=61.7,1.0713691694346368,1.6325632114075712,1.8504528866473002,drip,South,Var_39,Maturity,No Disease,ISO9001,Low
DEV-2023,T=25.42|N=9.74|H=40.3,7.252062143960983,4.438843551659939,3.6123698089531553,drip,East,Var_09,Vegetative,No Disease,ISO9001,High
SENSOR-6317,T=29.70|N=4.80|H=56.7,1.5757632201519998,,3.69894644783984,sprinkler,South,Var_33,Seedling,No Disease,ISO9001,Medium
DEV-6136,T=23.01|N=16.78|H=64.2,1.9407369161476469,1.4919217964374512,3.0349266273272395,drip,West,Var_07,Seedling,,ISO9001,Medium
SENSOR-8991,T=21.69|N=10.94|H=52.6,4.478582061090984,3.6322491816198137,2.8595863561760653,drip,East,Var_04,Seedling,No Disease,ISO9001,High
SENSOR-5336,T=21.10|N=9.50|H=48.0,5.650010089125242,2.453624058532962,2.303109522449192,sprinkler,North,Var_25,Seedling,No Disease,ISO9001,Medium
SENSOR-1988,T=19.19|N=10.77|H=26.6,7.740168087390683,2.521532278008028,2.74850230929908,drip,West,Var_21,Vegetative,Low,ISO9001,Medium
SENSOR-3897,T=23.50|N=6.69|H=56.0,2.4513886429857177,5.22195505026215,3.0053865486935223,drip,West,Var_19,Flowering,No Disease,ISO9001,High
NODE-5466,T=19.46|N=10.25|H=50.2,2.818785218315833,6.045906222823452,4.115032625579214,drip,East,Var_10,Vegetative,No Disease,ISO9001,Medium
NODE-3745,T=28.12|N=3.51|H=61.3,4.1301154504214015,4.588033556454081,1.9857199542710084,drip,East,Var_06,Vegetative,Low,ISO9001,Low
NODE-3610,T=28.08|N=5.59|H=28.8,3.7137602595189367,3.205246721534291,1.7945486524370091,drip,South,Var_17,Vegetative,Medium,ISO9001,Low
NODE-3263,T=18.75|N=5.42|H=49.9,6.509983716819199,,,sprinkler,North,Var_39,Maturity,No Disease,ISO9001,
NODE-5372,T=24.84|N=8.61|H=57.8,4.137272394643299,1.65340705094412,1.663950408893572,drip,North,Var_32,Vegetative,No Disease,ISO9001,Low
NODE-9100,T=19.62|N=8.65|H=62.7,1.4748425133938243,2.0220852830408926,1.5395030353318804,drip,East,Var_06,Flowering,No Disease,ISO9001,Low
SENSOR-9535,,1.9375733489971836,6.659020798930005,4.253348613654329,flood,North,Var_11,Flowering,No Disease,ISO9001,High
SENSOR-7397,T=26.07|N=5.53|H=54.9,0.6283752494111366,8.648189400554992,4.5829771672691475,flood,West,Var_05,Maturity,No Disease,ISO9001,High
NODE-9337,T=25.84|N=2.91|H=43.0,3.4374919689515675,7.560522924443654,3.3133625621064904,flood,East,Var_03,Vegetative,No Disease,ISO9001,High
DEV-9965,T=21.37|N=7.40|H=50.6,1.6831310647341582,3.9199217883375117,2.6066503699713177,drip,South,Var_37,Vegetative,No Disease,ISO9001,Medium
DEV-7840,T=24.34|N=10.56|H=53.1,2.14994731194822,3.233358927975893,2.768186448053402,drip,West,Var_21,Flowering,No Disease,ISO9001,Medium
NODE-8756,T=26.30|N=7.39|H=67.0,2.119961138898479,1.5465045061899922,,drip,East,Var_27,Vegetative,Low,ISO9001,Low
SENSOR-8037,T=28.50|N=12.14|H=47.1,2.1220249875990853,2.3708755155161017,2.7795663430876205,sprinkler,West,Var_22,Vegetative,No Disease,ISO9001,Low
DEV-5168,T=20.89|N=5.07|H=33.0,,2.6582745666402867,,drip,North,Var_06,Vegetative,No Disease,ISO9001,Medium
NODE-3500,T=18.86|N=6.09|H=35.4,3.8259441740371636,2.548741185325168,1.6246668970855362,drip,North,Var_36,Vegetative,No Disease,ISO9001,Low
DEV-9474,T=30.28|N=7.55|H=69.1,8.059938454143271,6.579450307281077,,flood,East,Var_24,Vegetative,No Disease,ISO9001,High
DEV-5658,T=21.21|N=4.11|H=59.0,4.676841149929894,2.919020255656983,1.6419689010499279,drip,South,Var_05,Seedling,No Disease,ISO9001,Medium
SENSOR-2020,T=25.93|N=7.76|H=57.2,0.22118818575329446,3.1495496457941,1.9535465260460019,drip,North,Var_03,Seedling,No Disease,ISO9001,Low
DEV-8240,T=31.49|N=3.47|H=56.8,1.953770731164159,3.46984383464133,1.320903589668503,drip,West,Var_15,Vegetative,No Disease,ISO9001,Low
DEV-1579,T=21.98|N=13.13|H=42.2,0.8155622276099335,3.7203305662966475,,drip,East,Var_29,Flowering,No Disease,ISO9001,Medium
DEV-7893,T=22.83|N=6.59|H=60.9,2.4915713802992965,4.458755080661833,2.659684640116101,sprinkler,South,Var_05,Seedling,High,ISO9001,Low
DEV-3552,T=28.59|N=4.83|H=32.8,2.9623448503502363,,1.1364417846175694,drip,South,Var_03,Vegetative,No Disease,ISO9001,Low
DEV-6162,T=16.77|N=11.32|H=38.4,6.476959706849778,2.7797592738661914,2.471159376564722,drip,West,Var_07,Seedling,No Disease,ISO9001,Low
SENSOR-6632,T=26.75|N=14.21|H=53.3,5.8269052979608595,2.3724521958982754,3.067476500557405,drip,North,Var_08,Maturity,No Disease,ISO9001,Medium
NODE-8661,T=18.52|N=14.44|H=34.6,4.465517766002527,2.4054967702957524,2.8630307518002063,sprinkler,West,Var_01,Maturity,No Disease,ISO9001,Medium
SENSOR-9584,T=25.99|N=7.96|H=55.6,3.685920565345512,,3.0669358036899523,sprinkler,South,Var_20,Seedling,No Disease,ISO9001,High
DEV-8667,T=19.95|N=4.91|H=19.3,2.4401449001579776,2.5726290130641645,1.1615763031894764,drip,West,Var_05,Flowering,No Disease,ISO9001,Low
DEV-5163,T=20.92|N=7.05|H=61.1,5.407383178745603,3.627707138953101,2.427955835006717,drip,East,Var_40,Vegetative,No Disease,ISO9001,High
DEV-4339,T=21.47|N=7.28|H=38.9,1.3537633535916516,2.325019563645326,1.2392907239893916,drip,West,Var_38,Seedling,Low,ISO9001,
DEV-5349,T=30.52|N=5.70|H=46.8,5.060854980216904,4.709415604868908,2.670272268889629,flood,South,Var_08,Flowering,No Disease,ISO9001,Low
NODE-5113,T=22.66|N=12.83|H=51.0,6.047773689030146,,2.2035536272618,sprinkler,South,Var_09,Seedling,No Disease,ISO9001,High
NODE-4057,T=29.57|N=8.01|H=64.8,3.2339883325369874,4.354788684073717,2.747685040974859,sprinkler,South,Var_04,Vegetative,No Disease,ISO9001,Medium
NODE-3710,T=21.44|N=6.16|H=46.1,2.640698236897388,3.527704660114507,2.0162022677379,drip,East,Var_06,Maturity,Low,ISO9001,Medium
DEV-4105,T=19.69|N=15.10|H=31.7,7.017971944817466,4.102529906751721,3.964638492573978,drip,East,Var_07,Flowering,No Disease,ISO9001,High
SENSOR-8293,T=20.54|N=7.67|H=62.8,4.157160610369216,3.369760936901488,2.3490626189336603,drip,North,Var_04,Vegetative,,ISO9001,
DEV-3773,T=22.71|N=15.11|H=34.9,3.8633710988090195,2.2558289277918036,3.151466691725217,sprinkler,East,Var_14,Flowering,No Disease,ISO9001,High
DEV-5443,T=17.11|N=9.98|H=43.5,3.547063197573847,2.836744966030604,2.266025944296221,sprinkler,North,Var_01,Seedling,No Disease,ISO9001,Low
SENSOR-2506,T=25.18|N=9.16|H=59.3,5.543287871520668,,3.7611076563441803,drip,North,Var_01,Flowering,No Disease,ISO9001,High
SENSOR-6066,T=27.18|N=3.26|H=43.6,3.8779679765067394,5.2594587870502325,2.4960919308084546,drip,North,Var_26,Flowering,No Disease,ISO9001,Medium
SENSOR-9419,T=25.08|N=6.05|H=55.0,,5.3519171960369825,2.914533204921553,drip,North,Var_12,Vegetative,No Disease,ISO9001,
SENSOR-5335,T=26.29|N=5.80|H=53.5,3.931020779970322,2.3463490190202334,1.5149744391186404,sprinkler,East,Var_03,Vegetative,No Disease,ISO9001,
DEV-4641,T=22.00|N=6.30|H=56.0,2.5901210948203808,4.0701987253602745,2.4063726318334364,drip,North,Var_12,Seedling,No Disease,ISO9001,Medium
DEV-3284,T=17.06|N=6.65|H=37.1,1.191613129720477,2.938615710318449,2.1300746035708986,sprinkler,East,Var_05,Seedling,No Disease,ISO9001,Low
DEV-3590,T=22.58|N=9.09|H=40.3,5.681433850471773,4.292215714675412,2.8337061022684433,sprinkler,South,Var_05,Seedling,No Disease,ISO9001,High
DEV-9850,T=28.25|N=7.49|H=53.4,2.336330336127789,4.518841498055615,2.7582640564537506,drip,South,Var_02,Vegetative,No Disease,ISO9001,
DEV-2260,T=24.17|N=11.04|H=39.5,3.3583410783950023,9.471866376663884,6.285058391650331,flood,South,Var_39,Vegetative,Medium,ISO9001,High
SENSOR-5956,T=24.79|N=9.77|H=47.2,3.160626532579048,2.959221879679802,2.3911227192899966,drip,North,Var_28,Vegetative,Low,ISO9001,Medium
DEV-5181,T=28.32|N=7.00|H=51.7,1.3058714461072987,2.401917913838235,,sprinkler,South,Var_08,Vegetative,No Disease,ISO9001,Low
DEV-9726,T=18.66|N=7.67|H=62.2,2.8853201590900683,2.9245863571950146,1.9070370651536983,drip,North,Var_08,Flowering,No Disease,ISO9001,Low
SENSOR-4974,T=19.16|N=9.67|H=52.0,7.356828335024697,4.928878854823443,3.4802397506432725,sprinkler,South,Var_09,Maturity,No Disease,ISO9001,Medium
NODE-3028,T=16.72|N=3.20|H=50.5,4.13313567044617,2.837646479303282,0.9555404027892027,drip,North,Var_01,Vegetative,No Disease,ISO9001,Low
SENSOR-5290,T=23.96|N=8.45|H=51.6,4.466059241826085,4.001701683803558,3.0248221039623946,drip,South,Var_31,Flowering,No Disease,ISO9001,High
NODE-9100,T=19.02|N=8.65|H=40.8,3.5440593034163204,4.977600072652225,3.226259934276501,drip,East,Var_04,Maturity,No Disease,ISO9001,Medium
DEV-3226,T=24.59|N=3.50|H=43.6,5.550709292796279,4.587937499557092,2.145474399157737,flood,South,Var_04,Flowering,No Disease,ISO9001,Medium
NODE-3904,T=21.49|N=7.09|H=46.5,2.4373891797913827,3.9994151654475107,2.4948554248032475,drip,West,Var_04,Seedling,No Disease,ISO9001,Medium
NODE-6913,T=23.32|N=14.22|H=51.9,4.243942196321667,8.772956866751388,6.389973390868979,drip,North,Var_10,Flowering,No Disease,ISO9001,High
SENSOR-3965,T=31.74|N=12.22|H=44.8,4.600963766439933,2.8315045867983115,3.073480252638521,sprinkler,East,Var_09,Seedling,No Disease,ISO9001,Low
SENSOR-1031,T=21.27|N=9.01|H=50.5,0.621342430595636,3.652144295772349,2.4161634969339483,sprinkler,North,Var_03,Maturity,No Disease,ISO9001,Medium
NODE-7417,,3.55958631324999,3.1606217859414927,1.5857232444897247,drip,West,Var_27,Flowering,No Disease,ISO9001,Low
SENSOR-6896,T=28.58|N=8.22|H=41.4,1.5585476621483394,4.19665996754528,2.613596111415943,drip,South,Var_03,Vegetative,No Disease,ISO9001,Low
SENSOR-7780,T=23.18|N=9.30|H=46.2,4.7325834465982055,,1.6195137062427498,sprinkler,North,Var_36,Seedling,No Disease,ISO9001,Low
SENSOR-8781,T=22.87|N=7.19|H=49.1,1.085475704687087,3.0684576551019567,2.377136393663982,sprinkler,East,Var_13,Vegetative,,ISO9001,High
SENSOR-9718,T=23.27|N=9.12|H=62.3,3.4477770481589114,3.823100025486381,2.7139445859571825,drip,South,Var_02,Vegetative,,ISO9001,Medium
SENSOR-1389,T=23.93|N=4.87|H=52.3,1.7172981371482992,4.1378378296049405,1.7707664343272027,drip,East,Var_01,Maturity,No Disease,ISO9001,Low
DEV-9596,T=28.71|N=12.62|H=48.1,3.5736610476079775,,4.238587111168829,drip,South,Var_06,Flowering,No Disease,ISO9001,High
DEV-7813,T=19.82|N=10.20|H=52.8,7.120741351727929,3.826659366565481,3.152701850893726,drip,East,Var_04,Flowering,No Disease,ISO9001,High
NODE-9378,T=22.37|N=12.25|H=38.3,,4.228544294003441,3.8511742124607395,drip,South,Var_02,Vegetative,No Disease,ISO9001,High
SENSOR-4183,T=24.86|N=12.98|H=52.6,1.9076960729996713,2.6081830680416265,2.8834301498273165,drip,West,Var_38,Maturity,No Disease,ISO9001,High
SENSOR-6736,T=28.79|N=5.67|H=38.3,5.176113296366922,3.829449933121815,1.9565869941831517,drip,South,Var_39,Vegetative,No Disease,ISO9001,Medium
DEV-9716,T=17.21|N=4.89|H=52.9,7.164576599348203,5.222543763167841,2.4307502538016275,flood,West,Var_03,Flowering,Low,ISO9001,Low
SENSOR-4599,T=21.27|N=7.23|H=58.7,6.18639548376218,4.429546084460008,2.491655568451033,drip,South,Var_24,Flowering,Low,ISO9001,Medium
SENSOR-9537,T=22.49|N=11.63|H=58.6,2.1736021112483366,4.327055284728905,3.732688225477303,drip,South,Var_07,Maturity,No Disease,ISO9001,High
NODE-2262,T=23.26|N=15.48|H=45.1,2.0680050880012235,2.030325736805997,3.2885928064496706,drip,West,Var_02,Seedling,Low,ISO9001,Medium
DEV-3493,T=23.21|N=7.88|H=50.1,5.382515135251977,4.902494320793461,3.193005946140923,sprinkler,East,Var_27,Maturity,No Disease,ISO9001,High
NODE-4480,T=24.66|N=9.77|H=53.7,1.4481327489662514,4.213124995290079,2.987002701192832,drip,South,Var_27,Vegetative,No Disease,ISO9001,High
DEV-9618,T=19.80|N=1.05|H=57.6,6.098211398210964,6.8834324290058655,2.685791681782553,drip,North,Var_06,Seedling,,ISO9001,
SENSOR-3836,T=28.66|N=1.42|H=58.3,5.9708986130406725,3.1746678882982193,1.0175063243917666,sprinkler,South,Var_24,Vegetative,No Disease,ISO9001,Low
SENSOR-6833,T=26.24|N=8.70|H=56.9,1.6625636425084687,4.199307619627804,2.994645654695698,drip,South,Var_01,Flowering,No Disease,ISO9001,
NODE-6499,T=25.49|N=3.80|H=57.3,3.3144348300416415,3.541944488124151,1.6178468535320327,drip,South,Var_36,Maturity,No Disease,ISO9001,Medium
SENSOR-2851,T=24.66|N=5.38|H=38.9,3.0637920877766787,2.351508739129416,1.6831867635199274,drip,East,Var_21,Flowering,No Disease,ISO9001,Medium
NODE-6020,T=19.26|N=9.07|H=43.2,1.68752164039843,5.5149895806792175,3.4059770447788402,flood,East,Var_05,Vegetative,No Disease,ISO9001,Medium
NODE-5934,T=17.63|N=8.14|H=46.8,3.9190517154627322,3.7305078678429524,2.1406730205050097,drip,West,Var_37,Maturity,No Disease,ISO9001,Low
NODE-1987,T=28.00|N=10.12|H=48.8,3.8329232580418644,1.868703307521772,2.15145136700977,sprinkler,South,Var_17,Seedling,No Disease,ISO9001,Low
NODE-3492,T=25.52|N=6.82|H=50.7,2.9051814780056353,4.993355282861517,2.8272802525350533,flood,North,Var_05,Flowering,No Disease,ISO9001,Medium
SENSOR-5321,T=23.10|N=7.13|H=45.1,6.818354970923011,3.8140694062395024,2.367031883054448,drip,North,Var_04,Vegetative,,ISO9001,High
NODE-7154,T=27.27|N=2.33|H=42.3,2.957263323663706,,1.4829889201725657,drip,West,Var_16,Vegetative,Low,ISO9001,Low
DEV-8540,T=16.75|N=8.73|H=51.6,4.23353944264846,3.0523511251319078,2.1314902253950834,drip,East,Var_35,Vegetative,No Disease,ISO9001,Low
NODE-6760,T=24.55|N=6.83|H=41.1,3.4007178837504313,4.323118176487319,2.77011945383851,flood,North,Var_12,Seedling,No Disease,ISO9001,Medium
SENSOR-6919,T=13.92|N=5.28|H=61.4,5.582824490035433,2.3996858860326804,1.1801720603877102,drip,East,Var_32,Maturity,No Disease,ISO9001,Low
NODE-2435,T=29.93|N=4.14|H=39.7,,3.7888263799711974,1.8482895555853183,drip,South,Var_28,Flowering,No Disease,ISO9001,Low
DEV-1543,T=17.82|N=4.32|H=54.7,4.18438444510876,4.514814086988779,2.0499335597788138,sprinkler,East,Var_20,Seedling,No Disease,ISO9001,Low
NODE-9295,T=21.00|N=13.62|H=41.3,7.727441368835752,7.411846527275816,5.5316799136593495,drip,South,Var_01,Vegetative,No Disease,ISO9001,High
SENSOR-1760,T=14.29|N=8.99|H=60.3,2.8078707715693043,4.362275051291241,3.0614845635554726,drip,North,Var_25,Vegetative,No Disease,ISO9001,Low
SENSOR-9889,T=17.81|N=6.12|H=56.1,,5.34787412932555,3.1384050110589174,drip,West,Var_09,Flowering,No Disease,ISO9001,Medium
DEV-2506,T=21.74|N=8.49|H=44.1,,1.8877025882696123,1.8113630194004158,sprinkler,South,Var_34,Flowering,No Disease,ISO9001,Low
SENSOR-5230,T=18.55|N=5.52|H=22.8,4.928696757939605,3.904503880359609,1.8619644763143945,sprinkler,South,Var_35,Maturity,No Disease,ISO9001,Low
NODE-8425,T=27.41|N=5.20|H=37.5,2.360167456905428,2.848226147775285,1.0569779581575438,sprinkler,West,Var_27,Flowering,No Disease,ISO9001,Low
DEV-4323,T=22.46|N=3.80|H=52.1,7.273145011509395,2.8437867310849714,1.3503711365311386,drip,North,Var_09,Vegetative,No Disease,ISO9001,Medium
NODE-9899,T=17.48|N=11.85|H=38.9,3.115824841355688,3.276894312680903,2.9614395736311816,drip,South,Var_40,Vegetative,Low,ISO9001,Low
SENSOR-1670,T=24.23|N=9.17|H=43.6,0.9537365720827562,4.463548075413185,3.3118244650191393,drip,North,Var_01,Vegetative,No Disease,ISO9001,High
SENSOR-4703,T=25.34|N=6.95|H=61.9,3.1503303708675503,7.950129390158965,4.35101361420857,drip,South,Var_36,Vegetative,No Disease,ISO9001,High
DEV-6637,T=18.97|N=6.49|H=58.7,3.7516043278933084,5.124798466613511,2.4186796184295227,flood,West,Var_13,Vegetative,No Disease,ISO9001,Medium
SENSOR-9898,T=20.53|N=5.68|H=35.5,6.731352309397057,4.777507608369626,2.5999112368246093,flood,West,Var_03,Flowering,No Disease,ISO9001,Medium
SENSOR-5982,T=19.31|N=0.72|H=60.5,3.728327468593632,3.377275190546319,0.8973301909163132,drip,South,Var_10,Flowering,No Disease,ISO9001,Low
DEV-8690,T=26.47|N=7.47|H=42.2,4.943744964150452,4.858665943929929,,drip,West,Var_17,Vegetative,,ISO9001,Medium
SENSOR-2103,T=22.39|N=0.87|H=51.0,4.843733999370524,2.7854605053700716,0.6550920832604898,drip,North,Var_06,Vegetative,No Disease,ISO9001,Low
SENSOR-2422,T=25.89|N=5.63|H=70.7,1.6722795985973344,2.8620194985728906,1.312123192027885,drip,West,Var_24,Seedling,,ISO9001,Low
SENSOR-3682,T=23.21|N=6.62|H=44.8,3.6474762581634232,2.634252889465996,,sprinkler,South,Var_32,Flowering,No Disease,ISO9001,Medium
DEV-7719,T=26.59|N=7.30|H=59.9,6.503843264769015,3.4991375416873183,2.4356323594975064,drip,East,Var_30,Maturity,No Disease,ISO9001,Medium
SENSOR-2833,T=29.56|N=4.38|H=58.9,5.8194417312706985,,1.3318707986247609,drip,South,Var_15,Flowering,No Disease,ISO9001,Low
SENSOR-6438,T=24.67|N=11.72|H=61.5,0.7096134002442631,6.414363992090507,4.645436311128417,drip,North,Var_22,Seedling,No Disease,ISO9001,High
DEV-8277,T=18.30|N=5.63|H=57.3,7.8004053043672545,2.896740245336927,1.4325453558960233,drip,West,Var_25,Flowering,,ISO9001,Low
SENSOR-5978,T=24.43|N=7.22|H=55.3,2.5256484320998456,9.737222675702448,5.391850233001179,flood,North,Var_28,Flowering,No Disease,ISO9001,High
NODE-9070,T=26.61|N=8.46|H=50.8,3.4030656744373635,3.0151049891979005,1.938116451148236,drip,North,Var_34,Seedling,No Disease,ISO9001,Low
NODE-6949,T=24.85|N=9.81|H=57.0,4.673408951167367,7.76773713805112,5.153036712439127,drip,East,Var_04,Seedling,No Disease,ISO9001,High
SENSOR-1473,T=22.26|N=6.17|H=46.0,5.781727389683395,4.970312242834281,3.1358419464609777,sprinkler,West,Var_12,Flowering,No Disease,ISO9001,High
NODE-9832,T=18.94|N=4.81|H=54.4,1.3629741603427783,4.998852378254194,2.6209989106875327,sprinkler,East,Var_30,Vegetative,No Disease,ISO9001,Low
DEV-7522,T=26.32|N=10.51|H=51.4,0.9652896393983508,4.450895139453424,3.2760686076726864,drip,East,Var_32,Vegetative,No Disease,ISO9001,Medium
NODE-2715,T=23.58|N=10.93|H=65.1,2.470686158104961,3.7127992851845257,2.8401512594952703,drip,East,Var_25,Vegetative,Low,ISO9001,High
DEV-8157,T=9.51|N=9.34|H=44.8,5.4807015553806515,6.513757726948915,4.254676414130439,sprinkler,North,Var_13,Vegetative,No Disease,ISO9001,Low
NODE-9499,T=17.77|N=7.26|H=53.6,1.7574552478902403,3.377778406781193,1.8673250338091658,sprinkler,East,Var_37,Flowering,Low,ISO9001,Low
SENSOR-8174,T=26.49|N=9.32|H=45.0,2.888592650895829,4.944395444621434,3.179872186659824,drip,North,Var_11,Flowering,No Disease,ISO9001,High
NODE-4058,T=22.66|N=11.25|H=55.1,4.127643420917387,4.915674858371684,3.4034090331127844,sprinkler,West,Var_06,Vegetative,No Disease,ISO9001,High
SENSOR-9153,,1.1243774987484643,5.378806793206157,,drip,North,Var_34,Flowering,No Disease,ISO9001,High
