,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
38,65,415,No,No,0,136.1,112,272.9,96,220.2,104,4.4,2,1,False
39,65,415,No,No,0,213.4,111,234.5,94,250.1,123,2.7,4,1,False
40,45,415,No,Yes,22,196.6,84,313.2,92,163.3,108,11.9,3,0,False
41,139,510,No,No,0,134.4,106,211.3,98,193.6,125,10.2,2,5,True
42,215,510,No,No,0,83.6,148,120.9,91,226.6,110,10.7,9,0,False
43,94,408,No,No,0,181.8,85,202.4,98,245.9,97,9.2,2,4,False
44,119,510,No,Yes,23,154.0,114,278.0,137,228.4,112,11.8,4,2,False
45,86,510,No,Yes,41,119.0,101,230.0,134,236.9,58,9.5,3,0,False
46,106,408,No,Yes,32,165.9,126,216.5,93,173.1,86,14.1,8,4,False
47,92,408,Yes,No,0,62.6,111,180.6,126,221.7,80,10.4,2,1,True
48,78,510,No,No,0,168.3,110,221.2,73,241.0,136,12.5,1,1,False
49,155,408,No,No,0,262.4,55,194.6,113,146.5,85,8.3,6,2,False
50,64,510,No,Yes,48,94.4,104,136.2,101,147.4,89,4.5,4,0,False
51,83,415,No,No,0,221.4,103,231.8,103,122.5,100,9.8,5,3,False
52,144,408,No,Yes,48,189.8,96,123.4,67,214.2,106,6.5,2,2,True
53,143,415,No,No,0,172.3,97,174.0,108,188.2,119,13.0,4,2,False
54,81,415,No,No,0,198.4,93,210.9,108,193.3,71,10.4,6,2,False
55,145,408,No,Yes,24,147.5,90,175.7,108,252.1,102,15.6,3,2,False
56,89,510,No,No,0,303.9,95,260.9,114,312.1,89,5.3,3,1,True
57,199,415,No,Yes,34,230.6,121,219.4,99,299.3,94,8.0,2,0,False
58,96,415,No,Yes,37,172.7,93,120.1,116,216.1,86,10.3,5,5,True
59,94,415,No,No,0,181.5,98,199.9,88,287.7,114,6.6,5,1,False
60,127,415,No,No,0,266.6,106,264.8,168,207.2,119,5.9,2,1,True
61,121,408,No,No,0,170.4,108,350.5,68,297.0,87,11.2,3,0,True
62,122,408,No,No,0,296.4,99,214.8,89,133.9,107,11.4,3,4,True
63,121,408,No,Yes,35,68.7,95,209.2,69,197.4,42,11.4,4,1,False
64,77,510,No,No,0,233.8,104,266.5,94,212.7,104,7.6,3,2,False
65,64,408,Yes,No,0,236.2,77,218.6,85,194.1,97,13.2,2,2,True
66,124,408,Yes,No,0,244.6,89,188.8,80,206.0,114,11.3,4,1,False
67,148,415,No,No,0,124.4,83,179.7,81,253.0,99,11.3,6,0,False
68,77,408,No,No,0,230.0,87,103.2,138,309.6,136,11.3,3,2,False
69,135,415,No,No,0,201.8,81,225.0,114,204.4,82,10.3,6,1,False
70,87,415,No,Yes,21,214.0,113,180.0,114,134.5,82,10.6,5,0,False
71,54,510,No,No,0,210.5,102,204.5,83,127.8,53,8.5,5,1,False
72,35,415,No,No,0,105.6,129,258.2,129,213.1,77,8.7,3,0,False
73,84,408,No,No,0,138.6,102,199.0,93,204.1,137,7.8,4,0,False
74,94,415,No,No,0,234.4,103,279.3,109,234.2,121,2.0,2,1,True
75,96,408,No,Yes,26,145.8,108,192.2,89,165.1,96,9.9,2,1,False
76,64,415,No,No,0,97.2,80,186.2,90,189.0,92,10.4,6,2,False
77,85,415,No,No,0,259.8,85,242.3,117,168.8,72,5.4,1,0,False
78,117,408,No,No,0,239.9,84,174.8,106,209.5,93,9.8,2,0,False
79,112,415,No,Yes,16,221.6,110,130.2,123,200.0,108,11.3,3,1,False
80,129,510,Yes,No,0,192.9,131,185.5,101,205.2,130,10.9,4,1,False
81,140,408,No,No,0,173.2,91,196.8,106,209.3,128,11.2,5,3,False
82,81,415,No,No,0,153.5,99,197.6,102,198.5,86,6.3,2,2,False
83,70,510,No,No,0,59.5,103,257.2,106,208.3,86,11.1,6,0,False
84,79,510,No,Yes,21,264.3,79,202.8,118,173.4,92,6.3,3,4,False
85,85,408,No,No,0,127.9,107,271.2,124,202.2,76,12.5,5,0,False
86,91,510,No,No,0,149.0,115,245.3,105,260.0,94,8.3,3,0,False
87,149,415,No,Yes,20,198.9,77,274.0,88,190.7,76,14.3,9,1,False
88,60,415,No,No,0,98.2,88,180.5,69,223.6,69,9.3,2,2,False
89,115,408,No,No,0,147.9,109,228.4,117,299.7,90,9.6,9,3,False
90,144,415,No,Yes,18,106.4,109,108.1,113,208.4,111,10.1,5,1,False
91,86,415,No,Yes,32,70.9,163,166.7,121,244.9,105,11.1,5,3,False
92,139,415,No,Yes,20,214.6,101,235.1,132,162.8,132,14.8,12,0,False
93,124,408,No,No,0,151.1,123,187.4,104,255.4,93,5.3,3,1,False
94,102,510,Yes,No,0,233.8,103,221.6,131,146.9,106,12.8,3,0,False
95,78,415,No,No,0,208.9,119,252.4,132,280.2,120,12.8,7,0,False
96,55,415,Yes,No,0,191.9,91,256.1,110,203.7,101,14.3,6,1,True
97,129,415,No,Yes,33,119.6,104,278.7,88,263.4,175,5.9,2,2,False
98,75,408,Yes,No,0,211.3,61,105.6,119,175.9,63,9.7,4,4,True
99,126,415,No,Yes,23,114.3,102,190.3,103,240.4,111,12.6,7,3,False
100,92,415,No,No,0,154.0,122,329.8,88,288.0,117,5.6,2,3,True
101,52,408,No,No,0,214.7,68,158.6,138,123.4,114,9.4,4,2,False
102,87,510,No,No,0,231.3,105,171.7,108,67.7,136,13.0,6,1,False
103,95,415,No,Yes,22,40.9,126,133.4,90,264.2,91,11.9,7,0,False
104,67,510,No,No,0,310.4,97,66.5,123,246.5,99,9.2,10,4,False
105,165,415,No,No,0,216.6,126,190.8,104,224.7,123,12.4,8,0,False
106,150,415,No,Yes,29,209.9,77,158.0,52,141.9,113,6.6,1,0,False
107,26,415,No,No,0,234.5,109,216.5,129,191.6,94,3.5,6,3,False
108,79,510,No,Yes,31,103.1,90,243.0,135,76.4,92,12.2,8,3,False
109,69,510,Yes,No,0,279.8,90,248.7,91,171.0,118,8.4,10,2,True
110,95,510,Yes,Yes,41,136.8,91,200.8,61,133.7,67,10.3,9,5,True
111,157,415,No,No,0,224.5,111,200.7,99,116.6,118,11.5,2,2,False
112,80,415,No,No,0,160.6,103,237.0,109,245.1,88,10.7,1,1,False
113,75,510,No,Yes,37,121.5,97,271.4,110,248.7,97,11.3,5,2,False
114,44,510,No,No,0,228.1,121,276.5,79,279.8,77,9.9,5,2,True
115,101,408,No,No,0,89.7,118,260.1,79,170.1,93,13.5,11,5,True
116,117,408,No,Yes,14,80.2,81,219.0,103,122.6,102,8.6,2,1,False
117,82,408,No,No,0,125.7,96,207.6,137,183.1,103,12.9,2,1,False
118,39,408,No,No,0,160.4,68,102.6,103,235.3,106,9.1,5,2,False
119,30,415,No,No,0,169.9,144,225.2,118,169.7,93,11.4,7,1,False
120,63,415,No,Yes,29,142.3,107,118.7,56,240.1,91,6.6,8,1,False
121,111,415,No,No,0,146.2,55,261.5,83,163.2,116,8.7,3,3,False
122,91,510,No,No,0,231.8,120,150.6,106,269.2,129,11.6,7,3,False
123,105,415,Yes,Yes,29,220.7,82,217.7,110,190.5,100,13.2,6,1,True
124,166,408,Yes,Yes,35,128.2,138,274.5,113,298.9,130,8.8,7,2,False
125,79,510,No,No,0,130.2,119,290.9,121,194.8,140,14.0,6,3,False
126,105,408,No,Yes,33,209.6,68,146.9,140,121.0,131,10.6,3,2,False
127,172,415,No,No,0,215.7,140,146.3,84,264.6,83,7.1,1,3,False
128,121,408,No,No,0,150.7,105,197.3,133,169.0,116,9.2,15,1,False
129,88,415,No,No,0,161.5,92,173.5,108,206.2,95,7.9,4,2,False
130,153,408,No,Yes,28,235.6,74,227.9,37,170.3,103,15.4,9,0,False
131,54,415,No,Yes,39,206.9,143,127.8,72,199.2,120,9.2,1,3,False
132,79,510,No,No,0,157.6,85,194.1,92,231.5,86,9.4,10,5,True
133,55,415,No,No,0,175.6,147,161.8,118,289.5,55,9.3,4,0,False
134,109,408,No,No,0,264.7,69,305.0,120,197.4,86,9.5,9,1,True
135,65,408,No,Yes,31,282.3,70,152.0,89,225.5,93,12.0,4,1,False
136,27,510,No,No,0,193.8,102,118.9,104,135.9,124,9.2,3,0,False
137,32,408,No,Yes,26,266.7,109,232.3,107,212.8,98,16.3,4,1,False
138,3,415,No,Yes,36,118.1,117,221.5,125,103.9,89,11.9,6,2,False
139,119,415,No,No,0,176.8,90,224.7,81,204.6,77,7.5,15,1,False
140,43,415,No,No,0,241.9,101,129.4,121,264.8,104,5.9,3,1,False
141,116,510,No,No,0,189.5,90,189.8,118,205.8,83,13.1,2,1,False
142,107,415,No,No,0,123.1,100,158.4,82,256.1,82,9.3,5,0,False
143,123,408,No,No,0,159.1,94,241.6,119,202.4,120,6.5,1,1,False
144,110,408,No,No,0,100.1,90,233.3,93,204.4,57,11.1,8,3,False
145,176,415,No,No,0,223.2,76,214.4,131,154.4,80,10.1,2,3,False
146,13,510,No,Yes,21,315.6,105,208.9,71,260.1,123,12.1,3,3,False
147,88,415,No,No,0,189.8,111,197.3,101,234.5,111,14.9,3,2,False
148,92,510,No,Yes,29,155.4,110,188.5,104,254.9,118,8.0,4,3,False
149,165,510,No,No,0,154.2,91,268.6,108,188.8,99,10.9,4,6,False
150,156,415,No,No,0,178.8,94,178.4,97,169.2,77,7.5,3,1,False
151,63,408,No,No,0,149.3,104,273.6,75,206.6,72,9.1,4,0,False
152,83,415,Yes,Yes,32,94.7,111,154.4,98,200.4,109,10.6,6,2,False
153,158,415,No,No,0,222.8,101,203.0,128,210.6,106,6.9,2,2,False
154,115,510,Yes,No,0,249.9,95,242.5,104,151.7,121,15.3,6,1,True
155,103,510,No,Yes,36,87.2,92,169.3,110,166.7,80,10.9,5,6,True
156,64,415,No,No,0,224.8,111,190.0,101,221.4,110,9.2,2,1,False
157,86,510,No,Yes,39,261.2,122,214.2,101,154.9,101,12.7,5,2,False
158,151,415,No,Yes,26,196.5,98,175.8,111,221.8,124,13.4,5,0,False
159,87,510,Yes,No,0,167.3,119,198.5,119,133.1,88,11.0,6,1,False
160,90,415,No,No,0,109.6,88,137.6,108,159.7,121,11.0,5,2,False
161,108,510,No,Yes,30,276.6,99,220.1,113,177.9,95,9.8,6,2,False
162,33,415,No,Yes,35,186.8,124,261.0,69,317.8,103,15.0,5,0,False
163,149,415,Yes,Yes,28,126.9,97,166.9,102,145.2,77,8.8,3,5,True
164,106,510,No,No,0,169.4,107,197.2,71,202.2,79,10.7,4,1,False
165,167,408,Yes,No,0,219.1,100,242.9,90,168.9,101,10.1,4,2,False
166,35,510,No,Yes,27,241.7,87,142.0,101,288.9,68,9.4,4,1,False
167,107,415,No,Yes,22,281.1,83,143.7,130,239.4,128,11.2,9,1,False
168,92,415,Yes,Yes,45,281.1,88,198.0,103,94.3,76,7.5,3,0,False
169,38,415,No,No,0,137.8,86,286.3,76,167.0,77,14.1,3,2,False
170,68,408,Yes,No,0,148.5,126,219.4,125,198.5,121,14.5,7,1,True
171,123,510,No,No,0,194.0,118,242.0,114,146.3,108,12.1,4,1,False
172,75,510,No,Yes,41,130.9,115,203.4,110,171.7,68,12.4,4,1,False
173,153,408,No,No,0,185.3,127,208.0,73,206.1,124,15.1,3,1,False
174,143,415,No,No,0,119.1,117,287.7,136,223.0,100,12.2,4,0,False
175,87,408,No,No,0,322.5,106,204.6,93,186.2,128,9.4,4,2,True
176,100,510,No,No,0,216.2,107,215.6,84,138.4,127,10.2,3,0,False
177,144,415,No,Yes,51,283.9,98,192.0,109,196.3,85,10.0,4,1,False
178,70,415,No,Yes,31,125.9,101,196.4,102,252.7,75,10.3,4,1,False
179,136,408,Yes,No,0,199.6,89,211.4,96,72.4,84,11.0,4,3,True
180,120,415,No,Yes,24,212.7,73,257.5,103,227.8,119,9.7,13,2,False
181,104,408,No,No,0,183.6,133,120.7,98,215.1,112,12.7,2,1,False
182,75,510,No,Yes,38,163.6,132,146.7,113,345.8,115,13.1,3,3,False
183,127,510,Yes,No,0,180.9,114,209.5,118,249.9,105,7.4,4,2,False
184,122,510,No,Yes,33,270.8,96,220.4,110,169.9,104,11.8,8,4,False
185,124,415,No,No,0,178.4,72,233.6,134,179.4,91,12.0,2,0,False
186,167,415,Yes,No,0,244.8,91,60.8,105,176.7,110,10.7,3,2,False
187,89,415,No,Yes,32,209.9,113,249.8,104,224.2,92,8.7,7,1,False
188,73,408,No,No,0,213.0,95,188.8,104,136.2,89,13.5,3,0,False
189,1,415,No,No,0,144.8,107,112.5,66,218.7,79,13.8,3,1,False
190,60,408,No,No,0,135.4,134,205.9,85,204.0,103,7.9,4,1,False
191,77,510,No,No,0,67.7,68,195.7,86,236.5,137,12.0,2,1,False
192,76,415,No,No,0,224.4,121,147.9,97,183.8,74,6.7,2,2,False
193,63,510,No,No,0,153.5,81,287.3,115,230.2,85,6.5,5,2,False
194,150,415,No,Yes,28,174.4,75,169.9,80,201.6,130,11.0,4,1,False
195,101,415,No,No,0,153.8,89,234.0,89,196.3,77,11.6,2,4,False
196,132,415,No,Yes,39,175.7,93,187.2,94,225.5,118,8.6,3,2,False
197,158,510,No,No,0,155.9,123,224.2,112,221.0,116,8.6,8,2,False
198,114,415,No,Yes,34,154.4,109,221.4,142,208.5,103,10.3,5,0,False
199,77,415,No,Yes,23,209.7,73,183.6,63,205.5,111,7.1,3,2,False
200,107,415,No,No,0,212.1,95,150.1,88,219.8,111,7.7,2,3,False
201,48,510,No,Yes,22,152.0,63,258.8,131,263.2,109,15.7,5,2,True
202,59,415,No,No,0,160.9,95,251.2,65,273.4,97,5.0,5,3,False
203,129,510,No,No,0,334.3,118,192.1,104,191.0,83,10.4,6,0,True
204,50,510,No,No,0,188.9,94,203.9,104,151.8,124,11.6,8,3,False
205,50,415,No,Yes,35,192.6,97,135.2,101,216.2,101,7.9,2,2,False
206,116,415,No,No,0,217.3,91,216.1,95,148.1,76,11.3,3,2,False
207,52,510,No,Yes,38,169.3,88,225.9,97,172.0,86,8.2,3,0,False
208,12,510,Yes,No,0,216.7,117,116.5,126,220.0,110,9.8,4,2,False
209,105,510,No,No,0,246.4,83,256.2,101,169.0,151,3.8,4,0,False
210,104,415,No,No,0,156.2,93,193.0,54,222.7,94,13.1,5,1,False
211,13,415,No,No,0,146.4,74,148.5,92,216.7,96,11.3,3,1,False
212,67,408,No,No,0,167.8,91,167.7,69,110.3,71,8.4,12,1,False
213,148,415,No,Yes,11,252.9,129,284.3,88,262.8,99,12.3,1,1,False
214,116,510,No,No,0,201.8,82,231.5,95,226.1,130,16.5,5,0,False
215,131,408,No,No,0,94.4,80,215.1,101,179.7,108,13.1,9,2,False
216,119,510,No,No,0,190.4,74,215.6,113,161.2,111,10.0,1,2,False
217,94,510,Yes,No,0,243.2,109,147.0,88,94.9,99,7.2,4,4,False
218,217,408,No,No,0,176.4,115,158.8,128,306.6,107,9.3,3,4,False
219,161,415,No,No,0,178.1,109,146.5,86,137.6,78,8.5,2,1,False
220,67,408,No,No,0,201.4,101,97.6,122,202.5,119,7.0,3,0,False
221,132,415,No,Yes,31,174.5,101,245.6,105,172.8,76,10.3,9,1,False
222,134,408,No,No,0,205.3,122,240.5,155,179.1,107,5.0,9,1,False
223,44,510,No,No,0,143.2,77,169.8,114,215.8,77,7.6,4,1,False
224,53,415,No,Yes,27,25.9,119,206.5,96,228.1,64,6.5,7,1,False
225,108,415,No,No,0,154.2,123,112.3,86,246.4,75,15.4,4,4,True
226,80,408,No,No,0,322.3,113,222.0,95,162.8,123,6.7,8,0,True
227,88,415,No,No,0,215.6,115,216.2,85,171.3,65,11.8,1,3,False
228,82,510,Yes,No,0,208.8,101,213.7,87,175.1,86,12.4,6,3,False
229,115,415,No,No,0,245.2,105,159.0,109,229.9,74,7.2,8,0,False
230,93,415,No,No,0,98.4,78,249.6,129,248.2,114,14.2,4,1,False
231,72,415,No,No,0,217.8,93,189.7,113,182.6,91,10.4,5,4,False
232,98,415,No,Yes,29,179.9,97,189.2,89,164.3,76,12.8,7,3,False
233,118,415,No,No,0,140.4,112,187.1,60,207.9,155,7.9,1,0,False
234,55,510,No,No,0,189.0,100,118.5,99,248.1,87,17.1,6,0,False
235,130,415,No,No,0,155.9,95,256.1,97,262.9,103,11.7,3,3,False
236,136,408,Yes,No,0,199.2,122,214.7,114,150.9,105,11.8,7,1,False
237,107,415,No,No,0,157.1,79,162.6,124,150.0,138,12.1,6,1,False
238,91,415,No,No,0,154.4,165,168.3,121,239.9,81,11.7,4,5,True
239,167,415,No,No,0,166.4,85,243.2,135,229.2,95,9.9,5,1,False
240,159,415,No,Yes,19,184.1,78,194.5,71,225.6,101,16.9,3,0,False
241,122,415,No,No,0,35.1,62,180.8,89,251.6,58,12.7,2,1,False
242,105,415,No,Yes,29,179.4,113,275.4,100,246.1,105,10.0,5,0,False
243,155,408,No,No,0,216.7,30,144.3,125,135.3,106,10.8,1,2,False
244,161,415,No,No,0,151.6,117,219.4,87,224.7,68,4.0,5,1,False
245,122,415,No,No,0,173.6,110,91.7,84,211.7,103,9.7,7,3,False
246,37,415,Yes,No,0,106.6,76,147.4,89,235.8,113,9.6,8,2,False
247,128,415,No,No,0,103.3,122,245.9,123,161.1,95,6.4,7,0,False
248,89,510,Yes,No,0,125.6,108,213.0,90,181.7,108,5.4,5,1,False
249,108,415,No,No,0,199.3,104,224.2,92,140.1,57,15.2,2,0,False
250,109,408,No,No,0,222.2,113,218.5,122,266.0,88,10.9,5,1,False
251,29,415,No,No,0,157.4,122,145.0,75,281.8,92,9.3,2,1,False
252,119,415,Yes,Yes,15,160.0,95,209.5,110,82.3,107,8.7,5,5,True
253,86,415,No,No,0,83.5,96,221.1,63,349.7,75,12.6,3,0,False
254,92,510,No,Yes,25,134.0,112,206.0,111,180.6,118,9.7,4,0,False
255,13,510,No,Yes,25,176.6,65,172.7,96,104.5,128,11.3,5,2,False
256,144,510,Yes,Yes,35,174.8,127,219.6,93,255.8,90,12.8,3,0,False
257,139,510,No,No,0,221.3,140,157.8,89,192.5,89,11.3,6,1,False
258,95,415,No,No,0,141.1,84,211.4,108,103.7,127,5.9,6,3,False
259,80,408,No,Yes,31,166.4,92,238.3,74,150.7,84,10.7,4,4,False
260,113,415,No,No,0,215.9,93,240.1,85,156.7,123,4.9,5,3,False
261,88,415,No,Yes,31,181.6,91,213.2,120,207.8,104,11.4,4,1,False
262,74,415,No,No,0,106.4,84,140.2,104,90.9,81,11.4,3,1,False
263,48,510,No,No,0,128.2,71,48.1,78,116.3,80,8.9,3,0,False
264,163,510,No,No,0,178.7,56,215.7,79,152.7,84,10.6,2,4,False
265,56,510,No,No,0,150.9,79,161.8,87,167.7,115,11.7,5,3,False
266,64,415,No,No,0,168.0,116,192.4,94,166.5,98,10.1,3,2,False
267,116,415,No,Yes,35,182.8,122,212.7,119,193.8,103,11.0,2,1,False
268,101,415,Yes,No,0,193.7,108,186.6,98,223.0,100,11.6,8,0,False
269,85,415,Yes,No,0,197.2,97,211.7,115,210.1,133,8.3,4,4,False
270,90,415,No,No,0,76.1,121,290.3,73,236.9,89,10.8,3,0,False
271,73,415,No,No,0,182.3,115,199.2,97,120.2,113,18.0,5,1,False
272,55,408,No,Yes,20,189.3,95,118.6,113,250.2,102,12.5,4,2,False
273,76,415,No,Yes,22,160.1,107,168.7,136,23.2,102,9.5,4,3,False
274,157,415,No,No,0,220.7,105,119.3,127,165.1,113,11.5,7,4,False
275,131,415,No,No,0,211.8,115,260.5,102,144.2,96,10.8,7,0,False
276,51,415,No,No,0,229.7,129,336.0,104,192.8,128,9.6,1,1,True
277,166,415,No,No,0,220.7,106,177.8,118,206.1,102,12.4,9,1,False
278,66,408,No,No,0,87.6,76,262.0,111,184.6,125,9.2,5,1,False
279,49,415,No,No,0,266.3,90,207.8,117,205.0,98,14.0,2,2,True
280,89,415,No,No,0,141.1,92,249.1,126,136.0,73,10.8,2,2,False
281,90,415,No,No,0,200.9,92,164.3,91,249.0,98,8.9,7,1,False
282,193,415,No,No,0,96.8,92,142.6,103,210.1,115,10.9,5,2,True
283,114,510,No,No,0,172.0,145,276.4,101,193.7,100,10.1,9,1,False
284,7,408,No,Yes,30,221.4,114,165.8,116,247.0,105,10.8,12,1,False
285,71,415,No,No,0,243.7,124,60.0,90,189.0,129,11.3,2,0,False
286,31,415,No,Yes,28,210.5,101,250.5,86,241.6,125,11.5,2,1,False
287,111,415,No,No,0,284.4,89,157.0,113,242.8,91,8.4,8,0,True
288,97,408,No,No,0,169.7,84,165.9,86,191.9,83,12.8,6,3,False
289,51,510,No,No,0,227.2,89,194.4,106,243.4,126,14.9,2,0,False
290,86,415,No,No,0,223.9,75,155.7,109,150.2,143,7.3,9,1,False
291,190,415,No,No,0,169.4,102,253.5,113,197.1,93,8.9,5,1,False
292,80,408,No,No,0,118.1,90,144.3,77,225.1,86,8.2,6,1,False
293,36,415,No,No,0,202.4,115,230.7,115,202.0,127,10.2,2,3,False
294,45,510,No,No,0,155.7,110,260.3,103,192.2,98,11.0,1,1,False
295,170,415,No,No,0,246.4,107,228.1,124,166.4,95,9.1,8,0,False
296,103,415,No,No,0,189.8,110,115.5,83,191.3,103,12.2,4,0,False
297,112,408,No,No,0,167.8,88,247.9,81,155.1,108,11.9,4,0,False
298,125,510,No,No,0,143.2,80,88.1,94,233.2,135,8.8,7,4,True
299,73,415,No,Yes,31,82.3,105,256.1,91,229.6,98,11.8,2,6,True
300,232,408,No,No,0,165.6,104,195.9,115,118.3,77,11.8,3,1,False
301,95,408,No,Yes,20,165.7,78,215.6,94,243.3,91,9.8,6,0,False
302,182,415,No,No,0,176.1,90,174.9,106,234.7,134,9.7,4,1,False
303,55,510,No,No,0,119.7,148,231.8,96,222.3,113,4.6,2,2,False
304,86,415,No,Yes,30,99.9,84,263.5,125,254.7,90,9.8,7,2,False
305,127,510,No,No,0,239.8,107,128.9,121,249.9,110,11.3,5,1,False
306,63,415,No,No,0,164.5,75,147.9,118,252.7,97,11.2,2,0,False
307,79,510,No,No,0,220.9,107,192.2,97,161.0,74,12.2,2,1,False
308,111,415,No,Yes,28,128.8,104,157.3,52,147.4,76,10.3,2,2,False
309,121,510,No,Yes,35,193.8,62,197.6,97,218.8,95,5.9,4,0,False
310,112,415,No,No,0,168.6,102,298.0,117,194.7,110,9.8,5,1,False
311,81,415,No,Yes,36,115.9,120,236.6,95,255.0,90,11.7,6,3,False
312,72,510,No,No,0,272.4,88,107.9,125,185.5,81,12.7,2,0,False
313,64,510,No,Yes,40,210.0,116,232.7,89,168.8,94,5.9,4,8,False
314,163,408,No,No,0,223.0,120,227.0,98,188.3,125,8.8,5,1,False
315,104,415,No,No,0,139.7,78,202.6,119,203.6,102,11.3,5,2,False
316,93,510,No,Yes,19,136.8,113,179.5,105,71.1,95,12.5,3,2,False
317,197,510,No,No,0,154.8,111,171.5,102,227.3,86,10.6,2,3,False
318,57,510,No,No,0,192.8,68,158.0,86,235.5,105,12.7,6,1,False
319,107,408,No,No,0,103.4,94,189.3,125,227.2,125,14.4,3,1,False
320,75,408,No,No,0,147.5,110,191.7,97,135.0,68,16.4,3,2,False
321,106,408,No,No,0,178.4,143,247.0,123,259.9,105,9.6,2,0,False
322,70,408,No,No,0,148.4,110,267.1,90,151.5,101,8.9,4,0,False
323,80,408,No,No,0,148.6,106,210.8,65,203.7,86,10.0,2,2,False
324,137,510,No,No,0,97.5,95,195.8,82,288.8,78,0.0,0,1,False
325,90,415,No,Yes,29,185.6,106,219.7,113,152.1,120,11.1,5,2,False
326,30,408,No,No,0,137.6,108,162.0,80,187.7,126,5.8,10,3,False
327,105,415,Yes,No,0,273.9,119,278.6,103,255.3,90,10.9,7,1,True
328,102,415,No,Yes,31,125.3,92,141.2,108,168.2,68,6.3,2,3,False
329,83,415,No,No,0,178.8,102,167.9,84,178.9,65,8.6,4,3,False
330,63,510,No,Yes,49,214.9,86,198.2,89,170.8,139,8.2,5,0,False
331,155,408,No,No,0,163.0,93,203.9,102,159.0,109,15.1,4,2,False
332,105,408,No,No,0,115.5,73,267.3,83,114.2,90,13.3,5,3,False
333,73,415,No,No,0,137.1,102,210.8,114,191.4,120,11.1,4,1,False
334,21,415,No,Yes,19,132.7,94,204.6,101,154.7,78,12.9,7,3,False
335,71,415,No,Yes,39,183.2,103,209.4,111,172.4,109,11.9,6,1,False
336,112,415,No,No,0,170.5,113,193.2,129,188.0,91,11.2,6,0,False
337,66,510,No,No,0,154.0,133,198.9,121,151.9,100,9.5,3,4,True
