,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Area code_408,Area code_415,Area code_510
130,153,0,1,28,235.6,74,227.9,37,170.3,103,15.4,9,0,1.0,0.0,0.0
131,54,0,1,39,206.9,143,127.8,72,199.2,120,9.2,1,3,0.0,1.0,0.0
132,79,0,0,0,157.6,85,194.1,92,231.5,86,9.4,10,5,0.0,0.0,1.0
133,55,0,0,0,175.6,147,161.8,118,289.5,55,9.3,4,0,0.0,1.0,0.0
134,109,0,0,0,264.7,69,305.0,120,197.4,86,9.5,9,1,1.0,0.0,0.0
135,65,0,1,31,282.3,70,152.0,89,225.5,93,12.0,4,1,1.0,0.0,0.0
136,27,0,0,0,193.8,102,118.9,104,135.9,124,9.2,3,0,0.0,0.0,1.0
137,32,0,1,26,266.7,109,232.3,107,212.8,98,16.3,4,1,1.0,0.0,0.0
138,3,0,1,36,118.1,117,221.5,125,103.9,89,11.9,6,2,0.0,1.0,0.0
139,119,0,0,0,176.8,90,224.7,81,204.6,77,7.5,15,1,0.0,1.0,0.0
140,43,0,0,0,241.9,101,129.4,121,264.8,104,5.9,3,1,0.0,1.0,0.0
141,116,0,0,0,189.5,90,189.8,118,205.8,83,13.1,2,1,0.0,0.0,1.0
142,107,0,0,0,123.1,100,158.4,82,256.1,82,9.3,5,0,0.0,1.0,0.0
143,123,0,0,0,159.1,94,241.6,119,202.4,120,6.5,1,1,1.0,0.0,0.0
144,110,0,0,0,100.1,90,233.3,93,204.4,57,11.1,8,3,1.0,0.0,0.0
145,176,0,0,0,223.2,76,214.4,131,154.4,80,10.1,2,3,0.0,1.0,0.0
146,13,0,1,21,315.6,105,208.9,71,260.1,123,12.1,3,3,0.0,0.0,1.0
147,88,0,0,0,189.8,111,197.3,101,234.5,111,14.9,3,2,0.0,1.0,0.0
148,92,0,1,29,155.4,110,188.5,104,254.9,118,8.0,4,3,0.0,0.0,1.0
149,165,0,0,0,154.2,91,268.6,108,188.8,99,10.9,4,6,0.0,0.0,1.0
150,156,0,0,0,178.8,94,178.4,97,169.2,77,7.5,3,1,0.0,1.0,0.0
151,63,0,0,0,149.3,104,273.6,75,206.6,72,9.1,4,0,1.0,0.0,0.0
152,83,1,1,32,94.7,111,154.4,98,200.4,109,10.6,6,2,0.0,1.0,0.0
153,158,0,0,0,222.8,101,203.0,128,210.6,106,6.9,2,2,0.0,1.0,0.0
154,115,1,0,0,249.9,95,242.5,104,151.7,121,15.3,6,1,0.0,0.0,1.0
155,103,0,1,36,87.2,92,169.3,110,166.7,80,10.9,5,6,0.0,0.0,1.0
156,64,0,0,0,224.8,111,190.0,101,221.4,110,9.2,2,1,0.0,1.0,0.0
157,86,0,1,39,261.2,122,214.2,101,154.9,101,12.7,5,2,0.0,0.0,1.0
158,151,0,1,26,196.5,98,175.8,111,221.8,124,13.4,5,0,0.0,1.0,0.0
159,87,1,0,0,167.3,119,198.5,119,133.1,88,11.0,6,1,0.0,0.0,1.0
160,90,0,0,0,109.6,88,137.6,108,159.7,121,11.0,5,2,0.0,1.0,0.0
161,108,0,1,30,276.6,99,220.1,113,177.9,95,9.8,6,2,0.0,0.0,1.0
162,33,0,1,35,186.8,124,261.0,69,317.8,103,15.0,5,0,0.0,1.0,0.0
163,149,1,1,28,126.9,97,166.9,102,145.2,77,8.8,3,5,0.0,1.0,0.0
164,106,0,0,0,169.4,107,197.2,71,202.2,79,10.7,4,1,0.0,0.0,1.0
165,167,1,0,0,219.1,100,242.9,90,168.9,101,10.1,4,2,1.0,0.0,0.0
166,35,0,1,27,241.7,87,142.0,101,288.9,68,9.4,4,1,0.0,0.0,1.0
167,107,0,1,22,281.1,83,143.7,130,239.4,128,11.2,9,1,0.0,1.0,0.0
168,92,1,1,45,281.1,88,198.0,103,94.3,76,7.5,3,0,0.0,1.0,0.0
169,38,0,0,0,137.8,86,286.3,76,167.0,77,14.1,3,2,0.0,1.0,0.0
170,68,1,0,0,148.5,126,219.4,125,198.5,121,14.5,7,1,1.0,0.0,0.0
171,123,0,0,0,194.0,118,242.0,114,146.3,108,12.1,4,1,0.0,0.0,1.0
172,75,0,1,41,130.9,115,203.4,110,171.7,68,12.4,4,1,0.0,0.0,1.0
173,153,0,0,0,185.3,127,208.0,73,206.1,124,15.1,3,1,1.0,0.0,0.0
174,143,0,0,0,119.1,117,287.7,136,223.0,100,12.2,4,0,0.0,1.0,0.0
175,87,0,0,0,322.5,106,204.6,93,186.2,128,9.4,4,2,1.0,0.0,0.0
176,100,0,0,0,216.2,107,215.6,84,138.4,127,10.2,3,0,0.0,0.0,1.0
177,144,0,1,51,283.9,98,192.0,109,196.3,85,10.0,4,1,0.0,1.0,0.0
178,70,0,1,31,125.9,101,196.4,102,252.7,75,10.3,4,1,0.0,1.0,0.0
179,136,1,0,0,199.6,89,211.4,96,72.4,84,11.0,4,3,1.0,0.0,0.0
180,120,0,1,24,212.7,73,257.5,103,227.8,119,9.7,13,2,0.0,1.0,0.0
181,104,0,0,0,183.6,133,120.7,98,215.1,112,12.7,2,1,1.0,0.0,0.0
182,75,0,1,38,163.6,132,146.7,113,345.8,115,13.1,3,3,0.0,0.0,1.0
183,127,1,0,0,180.9,114,209.5,118,249.9,105,7.4,4,2,0.0,0.0,1.0
184,122,0,1,33,270.8,96,220.4,110,169.9,104,11.8,8,4,0.0,0.0,1.0
185,124,0,0,0,178.4,72,233.6,134,179.4,91,12.0,2,0,0.0,1.0,0.0
186,167,1,0,0,244.8,91,60.8,105,176.7,110,10.7,3,2,0.0,1.0,0.0
187,89,0,1,32,209.9,113,249.8,104,224.2,92,8.7,7,1,0.0,1.0,0.0
188,73,0,0,0,213.0,95,188.8,104,136.2,89,13.5,3,0,1.0,0.0,0.0
189,1,0,0,0,144.8,107,112.5,66,218.7,79,13.8,3,1,0.0,1.0,0.0
190,60,0,0,0,135.4,134,205.9,85,204.0,103,7.9,4,1,1.0,0.0,0.0
191,77,0,0,0,67.7,68,195.7,86,236.5,137,12.0,2,1,0.0,0.0,1.0
192,76,0,0,0,224.4,121,147.9,97,183.8,74,6.7,2,2,0.0,1.0,0.0
193,63,0,0,0,153.5,81,287.3,115,230.2,85,6.5,5,2,0.0,0.0,1.0
194,150,0,1,28,174.4,75,169.9,80,201.6,130,11.0,4,1,0.0,1.0,0.0
195,101,0,0,0,153.8,89,234.0,89,196.3,77,11.6,2,4,0.0,1.0,0.0
196,132,0,1,39,175.7,93,187.2,94,225.5,118,8.6,3,2,0.0,1.0,0.0
197,158,0,0,0,155.9,123,224.2,112,221.0,116,8.6,8,2,0.0,0.0,1.0
198,114,0,1,34,154.4,109,221.4,142,208.5,103,10.3,5,0,0.0,1.0,0.0
199,77,0,1,23,209.7,73,183.6,63,205.5,111,7.1,3,2,0.0,1.0,0.0
200,107,0,0,0,212.1,95,150.1,88,219.8,111,7.7,2,3,0.0,1.0,0.0
201,48,0,1,22,152.0,63,258.8,131,263.2,109,15.7,5,2,0.0,0.0,1.0
202,59,0,0,0,160.9,95,251.2,65,273.4,97,5.0,5,3,0.0,1.0,0.0
203,129,0,0,0,334.3,118,192.1,104,191.0,83,10.4,6,0,0.0,0.0,1.0
204,50,0,0,0,188.9,94,203.9,104,151.8,124,11.6,8,3,0.0,0.0,1.0
205,50,0,1,35,192.6,97,135.2,101,216.2,101,7.9,2,2,0.0,1.0,0.0
206,116,0,0,0,217.3,91,216.1,95,148.1,76,11.3,3,2,0.0,1.0,0.0
207,52,0,1,38,169.3,88,225.9,97,172.0,86,8.2,3,0,0.0,0.0,1.0
208,12,1,0,0,216.7,117,116.5,126,220.0,110,9.8,4,2,0.0,0.0,1.0
209,105,0,0,0,246.4,83,256.2,101,169.0,151,3.8,4,0,0.0,0.0,1.0
210,104,0,0,0,156.2,93,193.0,54,222.7,94,13.1,5,1,0.0,1.0,0.0
211,13,0,0,0,146.4,74,148.5,92,216.7,96,11.3,3,1,0.0,1.0,0.0
212,67,0,0,0,167.8,91,167.7,69,110.3,71,8.4,12,1,1.0,0.0,0.0
213,148,0,1,11,252.9,129,284.3,88,262.8,99,12.3,1,1,0.0,1.0,0.0
214,116,0,0,0,201.8,82,231.5,95,226.1,130,16.5,5,0,0.0,0.0,1.0
215,131,0,0,0,94.4,80,215.1,101,179.7,108,13.1,9,2,1.0,0.0,0.0
216,119,0,0,0,190.4,74,215.6,113,161.2,111,10.0,1,2,0.0,0.0,1.0
217,94,1,0,0,243.2,109,147.0,88,94.9,99,7.2,4,4,0.0,0.0,1.0
218,217,0,0,0,176.4,115,158.8,128,306.6,107,9.3,3,4,1.0,0.0,0.0
219,161,0,0,0,178.1,109,146.5,86,137.6,78,8.5,2,1,0.0,1.0,0.0
220,67,0,0,0,201.4,101,97.6,122,202.5,119,7.0,3,0,1.0,0.0,0.0
221,132,0,1,31,174.5,101,245.6,105,172.8,76,10.3,9,1,0.0,1.0,0.0
222,134,0,0,0,205.3,122,240.5,155,179.1,107,5.0,9,1,1.0,0.0,0.0
223,44,0,0,0,143.2,77,169.8,114,215.8,77,7.6,4,1,0.0,0.0,1.0
224,53,0,1,27,25.9,119,206.5,96,228.1,64,6.5,7,1,0.0,1.0,0.0
225,108,0,0,0,154.2,123,112.3,86,246.4,75,15.4,4,4,0.0,1.0,0.0
226,80,0,0,0,322.3,113,222.0,95,162.8,123,6.7,8,0,1.0,0.0,0.0
227,88,0,0,0,215.6,115,216.2,85,171.3,65,11.8,1,3,0.0,1.0,0.0
228,82,1,0,0,208.8,101,213.7,87,175.1,86,12.4,6,3,0.0,0.0,1.0
229,115,0,0,0,245.2,105,159.0,109,229.9,74,7.2,8,0,0.0,1.0,0.0
230,93,0,0,0,98.4,78,249.6,129,248.2,114,14.2,4,1,0.0,1.0,0.0
231,72,0,0,0,217.8,93,189.7,113,182.6,91,10.4,5,4,0.0,1.0,0.0
232,98,0,1,29,179.9,97,189.2,89,164.3,76,12.8,7,3,0.0,1.0,0.0
233,118,0,0,0,140.4,112,187.1,60,207.9,155,7.9,1,0,0.0,1.0,0.0
234,55,0,0,0,189.0,100,118.5,99,248.1,87,17.1,6,0,0.0,0.0,1.0
235,130,0,0,0,155.9,95,256.1,97,262.9,103,11.7,3,3,0.0,1.0,0.0
236,136,1,0,0,199.2,122,214.7,114,150.9,105,11.8,7,1,1.0,0.0,0.0
237,107,0,0,0,157.1,79,162.6,124,150.0,138,12.1,6,1,0.0,1.0,0.0
238,91,0,0,0,154.4,165,168.3,121,239.9,81,11.7,4,5,0.0,1.0,0.0
239,167,0,0,0,166.4,85,243.2,135,229.2,95,9.9,5,1,0.0,1.0,0.0
240,159,0,1,19,184.1,78,194.5,71,225.6,101,16.9,3,0,0.0,1.0,0.0
241,122,0,0,0,35.1,62,180.8,89,251.6,58,12.7,2,1,0.0,1.0,0.0
242,105,0,1,29,179.4,113,275.4,100,246.1,105,10.0,5,0,0.0,1.0,0.0
243,155,0,0,0,216.7,30,144.3,125,135.3,106,10.8,1,2,1.0,0.0,0.0
244,161,0,0,0,151.6,117,219.4,87,224.7,68,4.0,5,1,0.0,1.0,0.0
245,122,0,0,0,173.6,110,91.7,84,211.7,103,9.7,7,3,0.0,1.0,0.0
246,37,1,0,0,106.6,76,147.4,89,235.8,113,9.6,8,2,0.0,1.0,0.0
247,128,0,0,0,103.3,122,245.9,123,161.1,95,6.4,7,0,0.0,1.0,0.0
248,89,1,0,0,125.6,108,213.0,90,181.7,108,5.4,5,1,0.0,0.0,1.0
249,108,0,0,0,199.3,104,224.2,92,140.1,57,15.2,2,0,0.0,1.0,0.0
250,109,0,0,0,222.2,113,218.5,122,266.0,88,10.9,5,1,1.0,0.0,0.0
251,29,0,0,0,157.4,122,145.0,75,281.8,92,9.3,2,1,0.0,1.0,0.0
252,119,1,1,15,160.0,95,209.5,110,82.3,107,8.7,5,5,0.0,1.0,0.0
253,86,0,0,0,83.5,96,221.1,63,349.7,75,12.6,3,0,0.0,1.0,0.0
254,92,0,1,25,134.0,112,206.0,111,180.6,118,9.7,4,0,0.0,0.0,1.0
255,13,0,1,25,176.6,65,172.7,96,104.5,128,11.3,5,2,0.0,0.0,1.0
256,144,1,1,35,174.8,127,219.6,93,255.8,90,12.8,3,0,0.0,0.0,1.0
257,139,0,0,0,221.3,140,157.8,89,192.5,89,11.3,6,1,0.0,0.0,1.0
258,95,0,0,0,141.1,84,211.4,108,103.7,127,5.9,6,3,0.0,1.0,0.0
259,80,0,1,31,166.4,92,238.3,74,150.7,84,10.7,4,4,1.0,0.0,0.0
260,113,0,0,0,215.9,93,240.1,85,156.7,123,4.9,5,3,0.0,1.0,0.0
261,88,0,1,31,181.6,91,213.2,120,207.8,104,11.4,4,1,0.0,1.0,0.0
262,74,0,0,0,106.4,84,140.2,104,90.9,81,11.4,3,1,0.0,1.0,0.0
263,48,0,0,0,128.2,71,48.1,78,116.3,80,8.9,3,0,0.0,0.0,1.0
264,163,0,0,0,178.7,56,215.7,79,152.7,84,10.6,2,4,0.0,0.0,1.0
265,56,0,0,0,150.9,79,161.8,87,167.7,115,11.7,5,3,0.0,0.0,1.0
266,64,0,0,0,168.0,116,192.4,94,166.5,98,10.1,3,2,0.0,1.0,0.0
267,116,0,1,35,182.8,122,212.7,119,193.8,103,11.0,2,1,0.0,1.0,0.0
268,101,1,0,0,193.7,108,186.6,98,223.0,100,11.6,8,0,0.0,1.0,0.0
269,85,1,0,0,197.2,97,211.7,115,210.1,133,8.3,4,4,0.0,1.0,0.0
270,90,0,0,0,76.1,121,290.3,73,236.9,89,10.8,3,0,0.0,1.0,0.0
271,73,0,0,0,182.3,115,199.2,97,120.2,113,18.0,5,1,0.0,1.0,0.0
272,55,0,1,20,189.3,95,118.6,113,250.2,102,12.5,4,2,1.0,0.0,0.0
273,76,0,1,22,160.1,107,168.7,136,23.2,102,9.5,4,3,0.0,1.0,0.0
274,157,0,0,0,220.7,105,119.3,127,165.1,113,11.5,7,4,0.0,1.0,0.0
275,131,0,0,0,211.8,115,260.5,102,144.2,96,10.8,7,0,0.0,1.0,0.0
276,51,0,0,0,229.7,129,336.0,104,192.8,128,9.6,1,1,0.0,1.0,0.0
277,166,0,0,0,220.7,106,177.8,118,206.1,102,12.4,9,1,0.0,1.0,0.0
278,66,0,0,0,87.6,76,262.0,111,184.6,125,9.2,5,1,1.0,0.0,0.0
279,49,0,0,0,266.3,90,207.8,117,205.0,98,14.0,2,2,0.0,1.0,0.0
280,89,0,0,0,141.1,92,249.1,126,136.0,73,10.8,2,2,0.0,1.0,0.0
281,90,0,0,0,200.9,92,164.3,91,249.0,98,8.9,7,1,0.0,1.0,0.0
282,193,0,0,0,96.8,92,142.6,103,210.1,115,10.9,5,2,0.0,1.0,0.0
283,114,0,0,0,172.0,145,276.4,101,193.7,100,10.1,9,1,0.0,0.0,1.0
284,7,0,1,30,221.4,114,165.8,116,247.0,105,10.8,12,1,1.0,0.0,0.0
285,71,0,0,0,243.7,124,60.0,90,189.0,129,11.3,2,0,0.0,1.0,0.0
286,31,0,1,28,210.5,101,250.5,86,241.6,125,11.5,2,1,0.0,1.0,0.0
